event,found,delta_s,delta_w,n_hits,reason
5430.0,False,,,25,no valid outer-layer seed pairs
5432.0,False,,,24,no valid outer-layer seed pairs
5452.0,False,,,23,no valid outer-layer seed pairs
5453.0,False,,,22,no valid outer-layer seed pairs
5455.0,False,,,28,no exact8 plane survived
5456.0,False,,,24,no valid outer-layer seed pairs
5464.0,False,,,24,no valid outer-layer seed pairs
5469.0,False,,,23,no valid outer-layer seed pairs
5475.0,False,,,25,no exact8 plane survived
5500.0,True,0.0055000302883760465,3.7722181913900896,28,
5514.0,False,,,25,no exact8 plane survived
5548.0,False,,,24,no exact8 plane survived
5553.0,True,0.0009307898150145282,0.9973383067268511,26,
5566.0,False,,,21,no valid outer-layer seed pairs
5570.0,False,,,25,no exact8 plane survived
5573.0,False,,,22,no valid outer-layer seed pairs
5591.0,False,,,24,no valid outer-layer seed pairs
5595.0,False,,,21,no valid outer-layer seed pairs
5611.0,False,,,24,no valid outer-layer seed pairs
5623.0,False,,,21,no valid outer-layer seed pairs
5637.0,False,,,23,no valid outer-layer seed pairs
5650.0,False,,,31,no valid outer-layer seed pairs
5667.0,False,,,25,no valid outer-layer seed pairs
5675.0,False,,,28,no exact8 plane survived
5687.0,False,,,24,no exact8 plane survived
5702.0,False,,,31,no valid outer-layer seed pairs
5711.0,False,,,25,no valid outer-layer seed pairs
5716.0,False,,,25,no valid outer-layer seed pairs
5722.0,True,0.0027338637817125085,1.768918870833646,22,
5724.0,False,,,21,no valid outer-layer seed pairs
5735.0,False,,,26,no valid outer-layer seed pairs
5736.0,False,,,20,no valid outer-layer seed pairs
5754.0,False,,,25,no valid outer-layer seed pairs
5797.0,True,0.005852116060078277,3.0003566017317436,23,
5810.0,False,,,24,no exact8 plane survived
5830.0,False,,,25,no exact8 plane survived
5853.0,False,,,28,no valid outer-layer seed pairs
5861.0,False,,,26,no exact8 plane survived
5866.0,False,,,23,no exact8 plane survived
5871.0,False,,,22,no valid outer-layer seed pairs
5881.0,False,,,21,no valid outer-layer seed pairs
5886.0,False,,,25,no exact8 plane survived
5890.0,False,,,24,no exact8 plane survived
5895.0,False,,,22,no valid outer-layer seed pairs
5900.0,False,,,23,no valid outer-layer seed pairs
5909.0,False,,,25,no valid outer-layer seed pairs
5923.0,False,,,23,no exact8 plane survived
5947.0,False,,,28,no valid outer-layer seed pairs
5948.0,False,,,22,no valid outer-layer seed pairs
5961.0,False,,,24,no valid outer-layer seed pairs
5963.0,False,,,24,no valid outer-layer seed pairs
5964.0,False,,,27,no valid outer-layer seed pairs
5970.0,False,,,24,no valid outer-layer seed pairs
5980.0,False,,,32,no valid outer-layer seed pairs
5983.0,False,,,30,no exact8 plane survived
5984.0,False,,,22,no valid outer-layer seed pairs
6007.0,False,,,25,no valid outer-layer seed pairs
6012.0,False,,,26,no valid outer-layer seed pairs
6017.0,False,,,28,no valid outer-layer seed pairs
6023.0,False,,,24,no valid outer-layer seed pairs
6024.0,False,,,23,no valid outer-layer seed pairs
6039.0,False,,,27,no valid outer-layer seed pairs
6043.0,False,,,32,no valid outer-layer seed pairs
6073.0,False,,,23,no valid outer-layer seed pairs
6076.0,False,,,25,no valid outer-layer seed pairs
6101.0,False,,,26,no valid outer-layer seed pairs
6121.0,False,,,26,no valid outer-layer seed pairs
6123.0,False,,,27,no valid outer-layer seed pairs
6130.0,False,,,29,no valid outer-layer seed pairs
6155.0,False,,,26,no valid outer-layer seed pairs
