event,final_ds_mm,final_dw_mm,n_hits
7304.0,0.19959630053908675,2.0583242095678473,13
7306.0,0.17766136129954016,4.256688392419438,15
7315.0,0.27897809709368904,3.670239200165882,13
7327.0,0.16675733299861797,4.86259424341371,14
7328.0,0.192237359674769,4.411098299120212,13
7354.0,0.18180252536487063,0.6812326669959338,12
7369.0,0.1430724523472592,3.8201280283852608,14
7371.0,0.2523259827484899,1.2872823613875912,14
7378.0,0.2070760290776319,2.3023310418542424,14
7384.0,0.16939089843376293,2.37346196523258,12
7424.0,0.19201434612236687,3.2759331697796776,15
7425.0,0.07826928884558576,3.2576883392740563,14
7470.0,0.1993256533140103,3.5158174515982448,15
7476.0,0.1804229509477067,4.725477051174795,14
7479.0,0.19205514445185073,1.2902452808726435,16
7480.0,0.19259999159831326,2.9813294842031106,15
7486.0,0.16599654063143898,2.1849611539288833,16
7504.0,0.1982440408831835,4.090754253592446,13
7519.0,0.18205529611659105,3.2956231632382758,14
7530.0,0.10951906933477985,3.8586629019775485,15
7534.0,0.18487630277238232,3.6894956134435883,12
7540.0,0.17065211376505268,4.337511652277328,15
7590.0,0.22726116999251653,3.496054174790726,16
7598.0,0.24398729965040716,3.588689571037708,13
7622.0,0.14054313237449495,4.654129477737548,14
7631.0,0.18134771547380427,4.502061454583381,16
7654.0,0.25419605416439317,4.082273877994443,16
7655.0,0.2337206676846214,3.396499577251106,15
7686.0,0.10294108602523312,4.328016730302519,12
7691.0,0.2020263287172332,2.303342232411874,15
7715.0,0.1171034263728493,4.161301525307393,14
7720.0,0.1341264386959612,3.76938259429423,13
7723.0,0.1908478719328366,4.419360493547864,14
7751.0,0.21987237221112899,4.415074859919231,16
7757.0,0.19681389060909119,3.3719452949250868,14
7788.0,0.09885213831628759,4.771191213766587,13
7800.0,0.2558332136395766,1.4558047230550022,14
7801.0,0.1739920177152455,2.7643107355053895,15
7812.0,0.06032141960531307,2.9784707623196756,14
7818.0,0.24230679328812837,4.817935688192148,14
7841.0,0.24969476528633613,4.6105105564481175,15
7844.0,0.132868394247484,4.250896370970622,14
7855.0,0.19554567242116436,0.8688466000963371,15
7856.0,0.15956697321079144,4.598003857342237,13
7921.0,0.04799467713500385,3.4859411198072054,14
7923.0,0.16505198173185276,4.169201495095882,14
7931.0,0.2250485923209212,4.713022475426957,13
7968.0,0.21042018354450498,4.43851990610721,16
7986.0,0.09217148794423713,3.5779332708857563,14
8039.0,0.2088809603928929,4.226964524872558,14
8053.0,0.09763464711699259,4.270119700823243,15
8059.0,0.2613793274222877,3.541404962554099,14
8090.0,0.23799782828419658,2.5984191186450163,13
8096.0,0.18146887323871366,3.8760749626395588,15
8107.0,0.17192490085014256,4.615154429019312,12
8112.0,0.1861643265447067,4.787475209204297,15
8131.0,0.20242966777562071,3.35092246586125,14
8159.0,0.07953899290426023,3.0425595707245834,14
8190.0,0.28389827284537544,4.592267231692563,13
8200.0,0.21387886333315717,2.0017368941976117,13
8212.0,0.21680164381348352,4.624278349981117,16
8216.0,0.19471344924023537,4.1928296556097315,15
8274.0,0.2158093865056902,2.991724478567546,16
8276.0,0.1701398287112648,3.775293649957477,14
8305.0,0.20377458983587715,4.397549688763472,15
8307.0,0.14478938948524642,1.6315336075261408,14
8322.0,0.20709777448064687,4.095487714613948,14
8325.0,0.21016233954019953,1.95653182610217,14
8347.0,0.1988041732777514,3.813672830430604,13
8376.0,0.23671748240916457,4.394412280880982,14
8390.0,0.22485153183730655,1.956450089340265,14
8396.0,0.23732052266500892,4.497462521522499,15
8446.0,0.260618881633514,4.259940844249952,12
8448.0,0.19721000584134202,3.1040626299022347,12
8476.0,0.22923447971154257,2.2435684069458572,16
8488.0,0.18306923768100283,1.955534022738335,15
8498.0,0.24232526055996903,3.370654386650109,16
8519.0,0.1925977826952048,3.774092269306658,13
8538.0,0.18585927317836184,1.4364332869507048,14
8562.0,0.2168289081929962,4.423291854814455,16
8627.0,0.1409083393779422,2.6337682652659384,15
8640.0,0.22784385377323044,3.646907056571111,14
8643.0,0.2687867238342569,4.618483248944887,15
8657.0,0.17600654708712887,2.144888873165487,14
8671.0,0.20420188903508074,3.035492891847413,13
8679.0,0.24221617736030013,4.506003767746016,15
8680.0,0.26135025222693425,4.437996991560644,13
8704.0,0.20447946768716427,4.694114096063622,15
