event,mu,pre_found,post_found,pre_ds,post_ds,pre_dw,post_dw,hits_pre,hits_post,merged_away,merge_transition
4736,5,False,False,,,,,756,754,2,0->0
4736,10,False,False,,,,,1416,1414,2,0->0
4736,20,False,False,,,,,3977,3975,2,0->0
3845,0,False,False,,,,,16,14,2,0->0
3845,5,False,False,,,,,1126,1124,2,0->0
3845,10,False,False,,,,,2257,2255,2,0->0
3845,20,False,False,,,,,2912,2910,2,0->0
2567,0,False,False,,,,,16,14,2,0->0
2567,5,False,False,,,,,760,758,2,0->0
2567,10,False,False,,,,,1992,1990,2,0->0
2567,20,False,False,,,,,2534,2531,3,0->0
6393,0,False,False,,,,,16,14,2,0->0
6393,5,False,False,,,,,635,633,2,0->0
6393,10,False,False,,,,,1756,1754,2,0->0
6393,20,False,False,,,,,3157,3154,3,0->0
6212,0,False,False,,,,,16,15,1,0->0
6212,5,False,False,,,,,956,955,1,0->0
6212,10,False,False,,,,,1837,1836,1,0->0
6212,20,False,False,,,,,3056,3055,1,0->0
3300,0,False,False,,,,,16,14,2,0->0
3300,5,False,False,,,,,277,275,2,0->0
3300,10,False,False,,,,,2316,2314,2,0->0
3300,20,False,False,,,,,3288,3285,3,0->0
7987,0,False,False,,,,,16,15,1,0->0
7987,5,False,False,,,,,711,710,1,0->0
7987,10,False,False,,,,,1646,1645,1,0->0
7987,20,False,False,,,,,3804,3803,1,0->0
6880,0,False,False,,,,,16,14,2,0->0
6880,5,False,False,,,,,1145,1143,2,0->0
6880,10,False,False,,,,,1784,1782,2,0->0
6880,20,False,False,,,,,4182,4180,2,0->0
6237,0,False,False,,,,,16,15,1,0->0
6237,5,False,False,,,,,1277,1276,1,0->0
6237,10,False,False,,,,,2012,2011,1,0->0
6237,20,False,False,,,,,2780,2779,1,0->0
6155,0,False,False,,,,,16,15,1,0->0
6155,5,False,False,,,,,851,850,1,0->0
6155,10,False,False,,,,,2069,2068,1,0->0
6155,20,False,False,,,,,3763,3761,2,0->0
6217,0,False,False,,,,,16,15,1,0->0
6217,5,False,False,,,,,921,920,1,0->0
6217,10,False,False,,,,,1345,1344,1,0->0
6217,20,False,False,,,,,2777,2776,1,0->0
1784,0,False,False,,,,,16,15,1,0->0
1784,5,False,False,,,,,431,430,1,0->0
1784,10,False,False,,,,,1598,1597,1,0->0
1784,20,False,False,,,,,3636,3635,1,0->0
3822,0,False,False,,,,,16,15,1,0->0
3822,5,False,False,,,,,1145,1144,1,0->0
3822,10,False,False,,,,,1986,1985,1,0->0
3822,20,False,False,,,,,4158,4156,2,0->0
3055,0,False,False,,,,,16,14,2,0->0
3055,5,False,False,,,,,784,782,2,0->0
3055,10,False,False,,,,,1082,1080,2,0->0
3055,20,False,False,,,,,2352,2349,3,0->0
6529,0,False,False,,,,,16,15,1,0->0
6529,5,False,False,,,,,1260,1258,2,0->0
6529,10,False,False,,,,,1022,1021,1,0->0
6529,20,False,False,,,,,3617,3615,2,0->0
2220,0,False,False,,,,,16,15,1,0->0
2220,5,False,False,,,,,513,512,1,0->0
2220,10,False,False,,,,,1907,1906,1,0->0
2220,20,False,False,,,,,2553,2552,1,0->0
2088,0,False,False,,,,,16,14,2,0->0
2088,5,False,False,,,,,544,542,2,0->0
2088,10,False,False,,,,,802,800,2,0->0
2088,20,False,False,,,,,2350,2348,2,0->0
7763,0,False,False,,,,,16,15,1,0->0
7763,5,False,False,,,,,947,946,1,0->0
7763,10,False,False,,,,,1582,1581,1,0->0
7763,20,False,False,,,,,3574,3573,1,0->0
2539,0,False,False,,,,,16,15,1,0->0
2539,5,False,False,,,,,337,336,1,0->0
2539,10,False,False,,,,,1902,1900,2,0->0
2539,20,False,False,,,,,3551,3549,2,0->0
1209,0,False,False,,,,,16,15,1,0->0
1209,5,False,False,,,,,1142,1140,2,0->0
1209,10,False,False,,,,,2041,2040,1,0->0
1209,20,False,False,,,,,5434,5432,2,0->0
6602,0,False,False,,,,,16,15,1,0->0
6602,5,False,False,,,,,752,751,1,0->0
6602,10,False,False,,,,,1615,1614,1,0->0
6602,20,False,False,,,,,3349,3348,1,0->0
9769,0,False,False,,,,,16,15,1,0->0
9769,5,False,False,,,,,1389,1388,1,0->0
9769,10,False,False,,,,,1513,1511,2,0->0
9769,20,False,False,,,,,3018,3016,2,0->0
5376,0,False,False,,,,,16,15,1,0->0
5376,5,False,False,,,,,339,338,1,0->0
