event,found,delta_s,delta_w,n_hits
8799.0,True,0.0022956437895861295,7.204159718675436,32
8810.0,False,,,22
8811.0,True,2.130400568437872e-05,0.7004554249473304,27
8825.0,True,3.5512955468982126e-05,0.8189088894989482,34
8833.0,False,,,24
8837.0,False,,,27
8855.0,False,,,22
8863.0,False,,,25
8870.0,False,,,19
8882.0,False,,,22
8883.0,True,0.0185089547057634,3.995880723262991,25
8916.0,False,,,26
8926.0,False,,,22
8965.0,False,,,27
8973.0,False,,,22
8981.0,False,,,20
8984.0,False,,,24
8991.0,False,,,33
9005.0,False,,,23
9019.0,False,,,22
9026.0,False,,,29
9033.0,False,,,24
9036.0,True,0.05238541764515486,5.631643278894125,31
9059.0,False,,,25
9065.0,True,8.029099487341848e-05,4.404620335037804,26
9085.0,False,,,27
9090.0,False,,,28
9091.0,False,,,25
9105.0,False,,,25
9106.0,False,,,25
9113.0,False,,,23
9114.0,False,,,27
9116.0,False,,,23
9118.0,False,,,23
9140.0,True,0.04779689593768984,7.160741391775548,22
9171.0,False,,,23
9209.0,False,,,21
9234.0,False,,,22
9236.0,True,0.0014622359612409843,5.186114081652602,24
9239.0,False,,,28
9270.0,False,,,22
9272.0,False,,,27
9278.0,False,,,30
9280.0,False,,,21
9290.0,False,,,30
9293.0,False,,,24
9296.0,False,,,21
9329.0,False,,,28
9346.0,False,,,28
9351.0,False,,,27
9355.0,False,,,22
9367.0,False,,,24
9383.0,True,6.518185136538982e-05,3.6734683520462994,31
9385.0,False,,,29
9386.0,False,,,30
9398.0,False,,,28
9414.0,False,,,25
9415.0,False,,,26
9420.0,True,0.00048146519662411454,8.854101007662278,25
9439.0,False,,,26
9441.0,False,,,24
9452.0,False,,,26
9458.0,True,0.0029543816930050035,1.350074218755208,22
9463.0,False,,,24
9472.0,False,,,20
9495.0,False,,,26
9501.0,False,,,29
9502.0,False,,,22
9550.0,False,,,41
9554.0,True,5.9046223241414805e-05,1.1758954781690714,34
9565.0,False,,,22
9594.0,False,,,27
9601.0,False,,,31
9603.0,True,0.00022372602943171083,2.8662674227648908,23
9629.0,False,,,23
9640.0,False,,,26
9651.0,False,,,26
9657.0,False,,,24
9669.0,False,,,25
9698.0,False,,,25
9703.0,False,,,25
9705.0,True,0.012044209144741929,5.510841348191956,22
9718.0,False,,,32
9722.0,True,0.00023029359906299445,5.98228653271624,24
9728.0,False,,,27
9733.0,False,,,30
9748.0,False,,,29
9756.0,False,,,25
9757.0,False,,,28
9760.0,False,,,23
9769.0,False,,,26
9771.0,False,,,27
