event,photon_pT,weight,found,pT_bin
226.0,14.72991022116169,0.01,False,5-20
227.0,14.38736866660626,0.01,False,5-20
228.0,79.35895726133229,0.01,False,>20
229.0,22.693252530604084,0.01,False,>20
230.0,23.77080186109715,0.01,False,>20
231.0,19.117723953228825,0.01,False,5-20
233.0,12.89244380841112,0.01,False,5-20
234.0,14.39539823472987,0.01,False,5-20
237.0,16.99837750757192,0.01,False,5-20
238.0,28.851418054007027,0.01,False,>20
239.0,29.699315772560567,0.01,False,>20
240.0,9.678244749947291,0.01,False,5-20
241.0,19.038413518830573,0.01,False,5-20
242.0,73.76689047941471,0.01,False,>20
244.0,12.680100363573906,0.01,False,5-20
245.0,37.169650207745256,0.01,False,>20
247.0,45.90560244251361,0.01,False,>20
249.0,72.12045768655848,0.01,False,>20
251.0,17.92911605450711,0.01,False,5-20
252.0,10.156728941206342,0.01,False,5-20
253.0,33.18263278163075,0.01,False,>20
254.0,10.72265226595853,0.01,False,5-20
255.0,18.64245202780985,0.01,False,5-20
256.0,44.50233350603345,0.01,False,>20
257.0,17.378398193168746,0.01,False,5-20
258.0,54.5470786309076,0.01,False,>20
260.0,27.37634212947189,0.01,False,>20
261.0,27.25134720629399,0.01,False,>20
264.0,34.30157220215143,0.01,False,>20
265.0,15.442667526469116,0.01,False,5-20
266.0,23.994820670839,0.01,False,>20
274.0,55.08367831311664,0.01,False,>20
275.0,55.67894729918893,0.01,False,>20
277.0,45.72424869680213,0.01,False,>20
278.0,10.934457483543788,0.01,False,5-20
279.0,9.64728832827296,0.01,False,5-20
284.0,15.560126406413929,0.01,False,5-20
287.0,18.99446044158429,0.01,False,5-20
288.0,11.763534313443248,0.01,False,5-20
290.0,16.048435769669588,0.01,False,5-20
292.0,44.96189042911958,0.01,False,>20
293.0,38.585302051298754,0.01,False,>20
294.0,31.572991680455416,0.01,False,>20
297.0,19.73677289087757,0.01,False,5-20
299.0,10.491590182341133,0.01,False,5-20
301.0,12.160913464400288,0.01,False,5-20
302.0,23.2606215213988,0.01,False,>20
303.0,42.62988057700572,0.01,False,>20
304.0,10.128545861079452,0.01,False,5-20
305.0,31.86141409116461,0.01,False,>20
306.0,28.81401932923569,0.01,False,>20
307.0,10.788692926672455,0.01,False,5-20
308.0,11.188286159296371,0.01,False,5-20
310.0,14.795130041959847,0.01,False,5-20
311.0,46.78990574972693,0.01,False,>20
312.0,12.096759586080962,0.01,False,5-20
313.0,30.904812902889464,0.01,False,>20
314.0,47.914800598460914,0.01,False,>20
315.0,33.41941437599179,0.01,False,>20
319.0,41.957885286743405,0.01,False,>20
320.0,17.938641176261424,0.01,False,5-20
321.0,29.51812435976209,0.01,False,>20
322.0,23.72450357123342,0.01,False,>20
323.0,21.24799321322803,0.01,False,>20
324.0,10.933121249765186,0.01,False,5-20
325.0,20.662558582635366,0.01,False,>20
327.0,9.799152054000038,0.01,False,5-20
328.0,14.97876070570786,0.01,False,5-20
329.0,14.636256171178042,0.01,False,5-20
330.0,12.624659414790775,0.01,False,5-20
331.0,9.994025597371015,0.01,False,5-20
332.0,19.121474261558102,0.01,False,5-20
333.0,43.38458168069983,0.01,False,>20
334.0,34.10470437631768,0.01,False,>20
335.0,12.754095538622687,0.01,False,5-20
337.0,22.507520891758748,0.01,False,>20
338.0,13.012744411092232,0.01,False,5-20
339.0,14.041010771156618,0.01,False,5-20
340.0,15.387095450689404,0.01,False,5-20
341.0,41.77895495878692,0.01,False,>20
344.0,14.581819739181537,0.01,False,5-20
345.0,16.48762564516387,0.01,False,5-20
346.0,22.336596298473264,0.01,False,>20
347.0,15.664315910332949,0.01,False,5-20
348.0,23.190049187140087,0.01,False,>20
349.0,37.05694136250951,0.01,False,>20
350.0,22.273492874129737,0.01,False,>20
351.0,11.579143230046036,0.01,False,5-20
352.0,14.538325575249106,0.01,False,5-20
353.0,14.755762995122856,0.01,False,5-20
354.0,18.28511896806563,0.01,False,5-20
355.0,11.000944497158155,0.01,False,5-20
356.0,50.38855409234995,0.01,False,>20
357.0,28.11493558267886,0.01,False,>20
360.0,20.67425482018992,0.01,False,>20
362.0,20.265893269021703,0.01,False,>20
363.0,20.413388071228603,0.01,False,>20
364.0,12.753751049901052,0.01,False,5-20
367.0,38.682061692433074,0.01,False,>20
368.0,17.863225829162356,0.01,False,5-20
370.0,46.4628947557263,0.01,False,>20
371.0,24.36927175638192,0.01,False,>20
372.0,18.323381839853408,0.01,False,5-20
374.0,10.909024655331963,0.01,False,5-20
375.0,14.991712727040216,0.01,False,5-20
376.0,93.02206447036062,0.01,False,>20
377.0,10.496853933195723,0.01,False,5-20
378.0,102.22759867366987,0.01,False,>20
379.0,11.47643412792188,0.01,False,5-20
380.0,11.186129655617078,0.01,False,5-20
381.0,12.107754108599227,0.01,False,5-20
382.0,22.574052217155163,0.01,False,>20
383.0,13.598142965053627,0.01,False,5-20
384.0,21.26757776618549,0.01,False,>20
385.0,14.191971933695257,0.01,False,5-20
387.0,17.54823918731004,0.01,False,5-20
389.0,26.659872430739885,0.01,False,>20
390.0,17.741404450351066,0.01,False,5-20
391.0,27.45232174178714,0.01,False,>20
393.0,14.262145385663644,0.01,False,5-20
394.0,51.70329916442612,0.01,False,>20
397.0,12.04151255092011,0.01,False,5-20
398.0,13.285200819606615,0.01,False,5-20
399.0,20.232485083023228,0.01,False,>20
400.0,13.405638550337994,0.01,False,5-20
401.0,59.76665606069919,0.01,False,>20
402.0,14.998532565544668,0.01,False,5-20
403.0,12.031117923572715,0.01,False,5-20
404.0,31.62286838762609,0.01,False,>20
405.0,91.29749015898676,0.01,False,>20
406.0,26.51395963836516,0.01,False,>20
407.0,16.62801034806289,0.01,False,5-20
