event,reason
1107.0,seed_ds_fail
1108.0,no_outer_pairs
1109.0,no_outer_pairs
1111.0,seed_ds_fail
1113.0,seed_ds_fail
1114.0,seed_ds_fail
1115.0,no_outer_pairs
1116.0,seed_dw_fail
1117.0,no_outer_pairs
1118.0,no_outer_pairs
1121.0,no_outer_pairs
1125.0,no_outer_pairs
1126.0,no_outer_pairs
1127.0,no_outer_pairs
1128.0,no_outer_pairs
1129.0,seed_ds_fail
1131.0,no_outer_pairs
1132.0,no_outer_pairs
1133.0,seed_ds_fail
1135.0,no_outer_pairs
1136.0,seed_dw_fail
1137.0,no_outer_pairs
1138.0,no_outer_pairs
1139.0,no_outer_pairs
1140.0,no_outer_pairs
1141.0,no_outer_pairs
1142.0,seed_ds_fail
1143.0,no_outer_pairs
1144.0,no_outer_pairs
1145.0,seed_dw_fail
1146.0,no_outer_pairs
1147.0,no_outer_pairs
1148.0,no_outer_pairs
1150.0,seed_ds_fail
1151.0,no_outer_pairs
1152.0,seed_ds_fail
1153.0,seed_ds_fail
1154.0,seed_dw_fail
1156.0,no_outer_pairs
1157.0,final_ds_fail
1158.0,no_outer_pairs
1160.0,seed_ds_fail
1162.0,seed_ds_fail
1163.0,seed_ds_fail
1164.0,final_ds_fail
1165.0,no_outer_pairs
1166.0,seed_ds_fail
1167.0,no_outer_pairs
1168.0,seed_ds_fail
1169.0,no_outer_pairs
1170.0,no_outer_pairs
1172.0,seed_ds_fail
1173.0,seed_ds_fail
1174.0,seed_ds_fail
1175.0,seed_dw_fail
1177.0,seed_dw_fail
1178.0,seed_dw_fail
1179.0,seed_ds_fail
1181.0,final_ds_fail
1183.0,seed_ds_fail
1184.0,seed_dw_fail
1185.0,seed_ds_fail
1186.0,no_outer_pairs
1187.0,seed_ds_fail
1188.0,no_outer_pairs
1189.0,final_ds_fail
1191.0,seed_ds_fail
1192.0,seed_ds_fail
1194.0,final_ds_fail
1195.0,no_outer_pairs
1196.0,seed_dw_fail
1197.0,no_outer_pairs
1198.0,seed_ds_fail
1199.0,seed_ds_fail
1200.0,seed_ds_fail
1201.0,no_outer_pairs
1202.0,seed_ds_fail
1203.0,seed_dw_fail
1204.0,no_outer_pairs
1206.0,seed_ds_fail
1207.0,no_outer_pairs
1208.0,no_outer_pairs
1209.0,seed_dw_fail
1210.0,no_outer_pairs
1211.0,seed_ds_fail
1213.0,seed_dw_fail
1215.0,seed_dw_fail
1216.0,no_outer_pairs
1218.0,seed_ds_fail
1219.0,seed_dw_fail
1220.0,no_outer_pairs
1222.0,seed_ds_fail
1223.0,seed_ds_fail
1224.0,final_ds_fail
1225.0,no_outer_pairs
1228.0,no_outer_pairs
1229.0,seed_dw_fail
1231.0,seed_dw_fail
1232.0,no_outer_pairs
1233.0,no_outer_pairs
1234.0,seed_ds_fail
1236.0,no_outer_pairs
1237.0,no_outer_pairs
1238.0,seed_ds_fail
1239.0,no_outer_pairs
1240.0,seed_dw_fail
1241.0,no_outer_pairs
1242.0,no_outer_pairs
1243.0,no_outer_pairs
1244.0,no_outer_pairs
1245.0,no_outer_pairs
1246.0,seed_dw_fail
1247.0,no_outer_pairs
1248.0,seed_ds_fail
1251.0,no_outer_pairs
1254.0,no_outer_pairs
1255.0,no_outer_pairs
1256.0,no_outer_pairs
1257.0,seed_dw_fail
1259.0,final_ds_fail
1260.0,seed_dw_fail
1261.0,seed_dw_fail
1263.0,seed_ds_fail
1264.0,seed_ds_fail
1265.0,no_outer_pairs
1268.0,no_outer_pairs
1269.0,seed_ds_fail
1270.0,no_outer_pairs
1273.0,no_outer_pairs
1274.0,seed_dw_fail
1275.0,seed_ds_fail
1276.0,no_outer_pairs
1277.0,no_outer_pairs
1278.0,final_ds_fail
1279.0,seed_dw_fail
1281.0,final_ds_fail
1282.0,seed_ds_fail
1283.0,seed_ds_fail
1284.0,seed_ds_fail
1285.0,no_outer_pairs
1286.0,seed_dw_fail
1287.0,final_ds_fail
1288.0,no_outer_pairs
1289.0,seed_ds_fail
1291.0,no_outer_pairs
1292.0,seed_dw_fail
1293.0,no_outer_pairs
1294.0,seed_dw_fail
1295.0,no_outer_pairs
1297.0,seed_ds_fail
1298.0,seed_ds_fail
1299.0,seed_ds_fail
1300.0,final_ds_fail
1302.0,seed_dw_fail
1303.0,no_outer_pairs
1305.0,no_outer_pairs
1306.0,seed_ds_fail
1307.0,seed_ds_fail
1308.0,no_outer_pairs
1309.0,seed_dw_fail
1312.0,no_outer_pairs
1313.0,no_outer_pairs
1316.0,seed_ds_fail
1317.0,no_outer_pairs
1318.0,seed_ds_fail
1319.0,seed_dw_fail
1320.0,seed_dw_fail
1321.0,seed_ds_fail
1322.0,final_ds_fail
1326.0,no_outer_pairs
1327.0,seed_ds_fail
1328.0,no_outer_pairs
1329.0,seed_ds_fail
1331.0,no_outer_pairs
1332.0,no_outer_pairs
1333.0,no_outer_pairs
1334.0,no_outer_pairs
1338.0,no_outer_pairs
1339.0,no_outer_pairs
1342.0,seed_dw_fail
1344.0,final_ds_fail
1346.0,no_outer_pairs
1351.0,seed_dw_fail
1352.0,seed_dw_fail
1353.0,no_outer_pairs
1354.0,no_outer_pairs
1355.0,no_outer_pairs
1356.0,seed_dw_fail
1357.0,no_outer_pairs
1358.0,no_outer_pairs
1360.0,no_outer_pairs
1363.0,no_outer_pairs
1365.0,final_ds_fail
1366.0,seed_ds_fail
1367.0,no_outer_pairs
1368.0,seed_dw_fail
1369.0,seed_ds_fail
1371.0,seed_ds_fail
1373.0,seed_ds_fail
1375.0,no_outer_pairs
1377.0,seed_ds_fail
1378.0,no_outer_pairs
1379.0,seed_ds_fail
1380.0,final_ds_fail
1381.0,no_outer_pairs
1382.0,seed_dw_fail
1383.0,seed_dw_fail
1385.0,seed_dw_fail
1388.0,no_outer_pairs
1389.0,no_outer_pairs
1390.0,seed_ds_fail
1391.0,no_outer_pairs
1392.0,seed_dw_fail
1394.0,no_outer_pairs
1395.0,no_outer_pairs
1396.0,seed_ds_fail
1397.0,no_outer_pairs
1399.0,no_outer_pairs
1400.0,no_outer_pairs
1401.0,seed_dw_fail
1403.0,seed_ds_fail
1404.0,no_outer_pairs
1406.0,no_outer_pairs
1407.0,seed_ds_fail
1408.0,seed_ds_fail
1409.0,no_outer_pairs
1410.0,no_outer_pairs
1411.0,seed_dw_fail
1412.0,no_outer_pairs
1413.0,no_outer_pairs
1415.0,seed_ds_fail
1416.0,no_outer_pairs
1417.0,seed_dw_fail
1418.0,seed_dw_fail
1419.0,no_outer_pairs
1420.0,seed_ds_fail
1423.0,seed_ds_fail
1424.0,seed_ds_fail
1429.0,no_outer_pairs
1430.0,no_outer_pairs
1431.0,seed_ds_fail
1432.0,no_outer_pairs
1433.0,seed_ds_fail
1434.0,seed_ds_fail
1435.0,no_outer_pairs
1436.0,no_outer_pairs
1437.0,seed_ds_fail
1438.0,final_ds_fail
1439.0,no_outer_pairs
1440.0,seed_dw_fail
1443.0,seed_ds_fail
1444.0,seed_ds_fail
1446.0,seed_ds_fail
1447.0,seed_dw_fail
1449.0,seed_dw_fail
1450.0,no_outer_pairs
1451.0,no_outer_pairs
