event,n_valid_seeds,min_seed_ds,median_seed_ds,max_seed_ds
3159,1,0.1230387004433575,0.1230387004433575,0.1230387004433575
3183,1,0.33955684328435826,0.33955684328435826,0.33955684328435826
3203,1,0.3928672102995872,0.3928672102995872,0.3928672102995872
3216,1,0.3037433660334918,0.3037433660334918,0.3037433660334918
3245,1,0.47885945827675447,0.47885945827675447,0.47885945827675447
3260,1,0.4738611914570453,0.4738611914570453,0.4738611914570453
3284,1,0.11655452948907077,0.11655452948907077,0.11655452948907077
3328,1,0.4429173761246193,0.4429173761246193,0.4429173761246193
3338,1,0.17809024485871358,0.17809024485871358,0.17809024485871358
3345,1,0.16074452636578668,0.16074452636578668,0.16074452636578668
3348,1,0.41453835190045524,0.41453835190045524,0.41453835190045524
3361,1,0.4077401867472228,0.4077401867472228,0.4077401867472228
3382,1,0.18170748155847394,0.18170748155847394,0.18170748155847394
3383,1,0.31499470180746714,0.31499470180746714,0.31499470180746714
3403,1,0.4152781904422822,0.4152781904422822,0.4152781904422822
3442,1,0.2879397764560288,0.2879397764560288,0.2879397764560288
3454,1,0.3102158623340692,0.3102158623340692,0.3102158623340692
3471,1,0.40552119537979564,0.40552119537979564,0.40552119537979564
3485,1,0.009193689518652712,0.009193689518652712,0.009193689518652712
3488,1,0.2971380503468511,0.2971380503468511,0.2971380503468511
3500,1,0.0922180507807135,0.0922180507807135,0.0922180507807135
3517,1,0.3760460894210202,0.3760460894210202,0.3760460894210202
3532,1,0.18418346262235075,0.18418346262235075,0.18418346262235075
3536,1,0.17924143012114055,0.17924143012114055,0.17924143012114055
3543,1,0.11350541518145932,0.11350541518145932,0.11350541518145932
3548,1,0.40123330161262766,0.40123330161262766,0.40123330161262766
3562,1,0.07917732131968508,0.07917732131968508,0.07917732131968508
3578,1,0.3444999134118357,0.3444999134118357,0.3444999134118357
3585,1,0.3255535868631588,0.3255535868631588,0.3255535868631588
3587,1,0.10053742229043874,0.10053742229043874,0.10053742229043874
3607,1,0.14433482654277585,0.14433482654277585,0.14433482654277585
3683,1,0.4142136997272599,0.4142136997272599,0.4142136997272599
3724,1,0.223435947268075,0.223435947268075,0.223435947268075
3726,1,0.13658212486340673,0.13658212486340673,0.13658212486340673
3741,1,0.2363869830643476,0.2363869830643476,0.2363869830643476
3773,1,0.3041321701112853,0.3041321701112853,0.3041321701112853
3781,1,0.07208947941267754,0.07208947941267754,0.07208947941267754
3795,1,0.34873429746256734,0.34873429746256734,0.34873429746256734
3797,1,0.26487579157769997,0.26487579157769997,0.26487579157769997
3827,1,0.18041612002736596,0.18041612002736596,0.18041612002736596
3828,1,0.0941871002202471,0.0941871002202471,0.0941871002202471
3832,1,0.3020148953687233,0.3020148953687233,0.3020148953687233
3851,1,0.2634271202279977,0.2634271202279977,0.2634271202279977
3865,1,0.3528783820421289,0.3528783820421289,0.3528783820421289
3869,1,0.24865234334194966,0.24865234334194966,0.24865234334194966
3926,1,0.345967328765557,0.345967328765557,0.345967328765557
3936,1,0.2584699849871967,0.2584699849871967,0.2584699849871967
3940,1,0.2548131293013053,0.2548131293013053,0.2548131293013053
3942,1,0.2379779063301508,0.2379779063301508,0.2379779063301508
3957,1,0.41685808551235126,0.41685808551235126,0.41685808551235126
3967,1,0.25318116728957746,0.25318116728957746,0.25318116728957746
3986,1,0.39198023782095875,0.39198023782095875,0.39198023782095875
