event,photon_pT,weight,found,delta_s,delta_w,n_hits,reason
514.0,38.82332600362286,0.01,False,,,15,no exact8 plane survived
518.0,7.656171745104503,0.01,False,,,15,no valid outer-layer seed pairs
519.0,30.575359077992857,0.01,False,,,15,no exact8 plane survived
520.0,14.807337086073538,0.01,False,,,15,no valid outer-layer seed pairs
521.0,36.0399280588608,0.01,False,,,15,no exact8 plane survived
523.0,7.009935270065913,0.01,False,,,15,no valid outer-layer seed pairs
524.0,67.12189044755894,0.01,False,,,14,no exact8 plane survived
526.0,16.106565183463754,0.01,False,,,15,no valid outer-layer seed pairs
527.0,10.527399406515356,0.01,False,,,15,no valid outer-layer seed pairs
528.0,32.01337710349973,0.01,False,,,14,no exact8 plane survived
530.0,108.90534577256412,0.01,False,,,14,no exact8 plane survived
531.0,114.52629672918688,0.01,False,,,14,no exact8 plane survived
533.0,4.925513950533856,0.01,False,,,15,no valid outer-layer seed pairs
535.0,12.36242759692546,0.01,False,,,15,no valid outer-layer seed pairs
536.0,5.2051496852342565,0.01,False,,,15,no valid outer-layer seed pairs
537.0,10.547911545468551,0.01,False,,,15,no valid outer-layer seed pairs
543.0,14.153109671579376,0.01,False,,,15,no valid outer-layer seed pairs
544.0,37.67875882709109,0.01,False,,,15,no exact8 plane survived
545.0,20.631085211851843,0.01,False,,,15,no exact8 plane survived
546.0,15.734992547862635,0.01,False,,,15,no valid outer-layer seed pairs
547.0,28.28422980769415,0.01,False,,,14,no exact8 plane survived
548.0,20.007653706443524,0.01,False,,,15,no exact8 plane survived
549.0,15.189352208860068,0.01,False,,,15,no valid outer-layer seed pairs
550.0,14.394337891557385,0.01,False,,,15,no valid outer-layer seed pairs
552.0,10.366161022338469,0.01,False,,,15,no valid outer-layer seed pairs
554.0,40.60350401021599,0.01,False,,,14,no exact8 plane survived
555.0,12.770935433313234,0.01,False,,,15,no valid outer-layer seed pairs
557.0,23.17703030260249,0.01,False,,,15,no exact8 plane survived
558.0,21.890481834859152,0.01,False,,,15,no exact8 plane survived
559.0,17.77651989506322,0.01,False,,,15,no valid outer-layer seed pairs
560.0,9.263887552714486,0.01,False,,,15,no valid outer-layer seed pairs
561.0,15.28482248525768,0.01,False,,,15,no valid outer-layer seed pairs
562.0,12.168295218139056,0.01,False,,,15,no valid outer-layer seed pairs
563.0,10.470173531157297,0.01,False,,,15,no valid outer-layer seed pairs
565.0,13.801934658132394,0.01,False,,,15,no valid outer-layer seed pairs
566.0,23.57749911781517,0.01,False,,,15,no exact8 plane survived
569.0,19.58336536759446,0.01,False,,,15,no exact8 plane survived
570.0,24.150527689145783,0.01,False,,,15,no exact8 plane survived
