event,mu,hard_found,pu_found,transition,hard_ds,pu_ds,hard_dw,pu_dw,hard_hits,combined_hits,pu_events
2143,0,False,False,0->0,,,,,16,16,
2143,5,False,False,0->0,,,,,16,728,"693,276,565,218,373"
2143,10,False,False,0->0,,,,,16,2329,"570,469,366,185,194,584,938,638,21,176"
2143,20,False,False,0->0,,,,,16,3873,"420,491,106,926,818,594,962,569,794,326,290,622,560,294,879,421,829,186,582,37"
6811,0,False,False,0->0,,,,,16,16,
6811,5,False,False,0->0,,,,,16,1134,"260,214,827,358,428"
6811,10,False,False,0->0,,,,,16,1175,"141,652,510,788,260,232,741,694,272,477"
6811,20,False,False,0->0,,,,,16,3205,"692,376,119,443,964,124,324,622,763,761,568,679,863,959,944,439,49,156,493,320"
6704,0,False,False,0->0,,,,,16,16,
6704,5,False,False,0->0,,,,,16,531,"630,117,741,589,824"
6704,10,False,False,0->0,,,,,16,1766,"760,169,958,172,845,90,111,775,814,317"
6704,20,False,False,0->0,,,,,16,4029,"746,947,699,21,578,823,27,781,870,702,742,721,136,499,202,223,224,573,504,653"
5644,0,False,False,0->0,,,,,16,16,
5644,5,False,False,0->0,,,,,16,641,"604,872,220,243,635"
5644,10,False,False,0->0,,,,,16,1311,"599,958,752,961,182,989,318,83,657,727"
5644,20,False,False,0->0,,,,,16,3106,"127,597,953,411,357,21,443,148,690,763,824,917,232,269,758,821,329,981,46,700"
1277,0,False,False,0->0,,,,,16,16,
1277,5,False,False,0->0,,,,,16,661,"567,420,297,804,818"
1277,10,False,False,0->0,,,,,16,1659,"90,320,563,662,884,721,38,929,717,393"
1277,20,False,False,0->0,,,,,16,2811,"824,407,302,83,731,852,594,583,983,652,303,239,538,737,325,655,417,611,748,969"
7666,0,False,False,0->0,,,,,16,16,
7666,5,False,False,0->0,,,,,16,1213,"67,985,93,88,652"
7666,10,False,False,0->0,,,,,16,918,"233,721,241,96,263,98,451,757,990,852"
7666,20,False,False,0->0,,,,,16,4152,"252,225,459,536,572,879,393,693,677,507,563,433,320,955,724,826,615,167,463,909"
2520,0,False,False,0->0,,,,,16,16,
2520,5,False,False,0->0,,,,,16,789,"370,633,986,814,121"
2520,10,False,False,0->0,,,,,16,1645,"313,724,497,978,534,649,335,705,495,796"
2520,20,False,False,0->0,,,,,16,4388,"239,477,388,357,790,884,364,152,810,111,500,362,966,490,545,971,657,143,874,598"
9785,0,False,False,0->0,,,,,16,16,
9785,5,False,False,0->0,,,,,16,477,"554,29,526,79,757"
9785,10,False,False,0->0,,,,,16,1816,"479,934,913,573,325,92,411,374,350,159"
9785,20,False,False,0->0,,,,,16,2563,"831,522,335,583,511,676,391,611,724,835,172,531,533,279,550,770,253,958,37,673"
2896,0,False,False,0->0,,,,,16,16,
2896,5,False,False,0->0,,,,,16,935,"893,570,504,892,74"
2896,10,False,False,0->0,,,,,16,1903,"510,646,988,707,517,362,426,998,949,83"
2896,20,False,False,0->0,,,,,16,4114,"659,391,833,162,613,651,725,635,906,755,160,857,282,739,291,156,676,49,378,441"
4408,0,False,False,0->0,,,,,16,16,
4408,5,False,False,0->0,,,,,16,650,"161,440,135,612,145"
4408,10,False,False,0->0,,,,,16,1766,"705,708,728,962,163,726,983,429,984,811"
4408,20,False,False,0->0,,,,,16,3338,"843,954,750,184,908,740,81,649,383,692,811,744,532,72,605,624,387,318,551,403"
3089,0,False,False,0->0,,,,,16,16,
3089,5,False,False,0->0,,,,,16,302,"565,770,390,217,564"
3089,10,False,False,0->0,,,,,16,1623,"343,102,868,19,420,831,179,443,961,193"
3089,20,False,False,0->0,,,,,16,4987,"890,121,557,789,980,342,173,891,871,390,401,659,503,951,88,873,255,323,388,475"
2588,0,False,False,0->0,,,,,16,16,
2588,5,False,False,0->0,,,,,16,1561,"414,255,515,874,971"
2588,10,False,False,0->0,,,,,16,1400,"774,488,742,165,768,687,514,517,931,182"
2588,20,False,False,0->0,,,,,16,2840,"422,838,681,638,801,105,365,492,194,519,605,627,183,676,971,276,318,538,303,317"
7450,0,False,False,0->0,,,,,16,16,
7450,5,False,False,0->0,,,,,16,787,"57,409,950,496,619"
7450,10,False,False,0->0,,,,,16,1160,"983,713,309,169,998,823,308,207,760,391"
7450,20,False,False,0->0,,,,,16,2847,"389,938,652,192,395,64,262,768,164,985,152,969,992,670,190,791,830,631,138,651"
7155,0,False,False,0->0,,,,,16,16,
7155,5,False,False,0->0,,,,,16,744,"781,654,424,605,539"
7155,10,False,False,0->0,,,,,16,1342,"940,787,150,358,897,491,404,218,276,835"
7155,20,False,False,0->0,,,,,16,4048,"395,838,461,381,945,724,917,851,288,577,27,957,63,489,968,155,145,949,681,614"
818,0,False,False,0->0,,,,,16,16,
818,5,False,False,0->0,,,,,16,416,"357,824,44,17,933"
818,10,False,False,0->0,,,,,16,2530,"312,419,519,557,740,389,245,699,264,990"
818,20,False,False,0->0,,,,,16,2871,"165,487,993,673,24,968,174,38,211,927,21,13,220,741,192,722,691,144,69,500"
6502,0,False,False,0->0,,,,,16,16,
6502,5,False,False,0->0,,,,,16,728,"465,621,686,859,192"
6502,10,False,False,0->0,,,,,16,1373,"639,989,421,511,254,813,603,829,494,440"
