event,layer,n1_distance_mm,passes_0p5
3345.0,1302,0.2204716041569129,True
3345.0,1302,0.09855804415845497,True
3348.0,1304,2.3590039256410513,False
3348.0,1304,1.5352157700760343,False
3348.0,1302,0.679114227605983,False
3348.0,1302,0.7672942349718156,False
3361.0,1304,0.027837990231910848,True
3361.0,1304,0.14460128453135224,True
3361.0,1302,0.02168081783427034,True
3361.0,1302,0.4354333541116859,True
3382.0,1304,0.18662360147345988,True
3382.0,1304,0.8420165407645992,False
3382.0,1302,0.9566579960011488,False
3382.0,1302,0.7819742681992143,False
3383.0,1304,0.7757565999005555,False
3383.0,1304,1.0501060702427827,False
3383.0,1302,0.4597242624611945,True
3383.0,1302,0.2764762944501125,True
3403.0,1304,0.046372417070794016,True
3403.0,1304,0.4920870870352173,True
3403.0,1302,0.7346022436822399,False
3403.0,1302,0.3520933567728437,True
3442.0,1304,0.09856374008729356,True
3442.0,1304,0.42474635680992845,True
3442.0,1302,0.03173812569861261,True
3442.0,1302,0.0005197377272709502,True
3454.0,1304,0.5866735794371671,False
3454.0,1304,1.4410576687485817,False
3454.0,1302,0.12329185810737799,True
3454.0,1302,0.037276229415553634,True
3471.0,1304,0.7593826161649857,False
3471.0,1304,0.3165658602156209,True
3471.0,1302,0.2900465671970346,True
3471.0,1302,0.33351606942567447,True
3485.0,1304,0.4530782082346189,True
3485.0,1304,0.026934024771184024,True
3485.0,1302,0.03117794876895796,True
3485.0,1302,0.25691021016612436,True
3488.0,1304,0.4834783815508861,True
3488.0,1304,0.16323997403280985,True
3488.0,1302,0.08443925824786326,True
3488.0,1302,0.8256224314390884,False
3500.0,1304,1.0158364574989989,False
3500.0,1304,0.9379805005915469,False
3500.0,1302,0.6303989110085878,False
3500.0,1302,0.8692800813761459,False
3517.0,1304,0.5489277481890816,False
