event,charge,layer_id,trajectory_step,x,y,z,r,phi,photon_pT,weight,n_merged
43.0,1,3,64,-74.3264106061959,48.0399280432347,-14.0,88.5,2.5677966101694913,26.975789555489765,0.01,1
43.0,-1,3,64,-74.65039438286428,47.5349199902853,-14.0,88.5,2.574576271186441,26.975789555489765,0.01,1
43.0,1,4,98,-102.7152635957396,66.75196345020667,-19.200000000000003,122.5,2.5653061224489795,26.975789555489765,0.01,1
43.0,-1,4,98,-103.47141870866317,65.57374101282089,-19.200000000000003,122.5,2.5767346938775515,26.975789555489765,0.01,1
44.0,0,1,10,-10.03697590118314,-31.698911491708774,25.75,33.25,-1.8774436090225566,22.10071709711522,0.01,2
44.0,1,2,32,-15.281402422155448,-48.1324084169091,38.8,50.50000000000001,-1.878217821782178,22.10071709711522,0.01,1
44.0,-1,2,32,-15.186060824022032,-48.16257423196048,38.8,50.50000000000001,-1.8762376237623761,22.10071709711522,0.01,1
44.0,1,3,80,-27.044849490460336,-84.26639968598603,68.4,88.5,-1.88135593220339,22.10071709711522,0.01,1
44.0,-1,3,80,-26.377496560928016,-84.47767560236389,68.4,88.5,-1.8734463276836162,22.10071709711522,0.01,1
44.0,1,4,123,-37.80031038454424,-116.52204312846612,94.4,122.5,-1.8844897959183675,22.10071709711522,0.01,1
44.0,-1,4,123,-36.131909277982864,-117.05013939302944,94.4,122.5,-1.8702040816326533,22.10071709711522,0.01,1
45.0,0,1,16,-0.920904357475652,33.23724469874696,56.5,33.25,1.598496240601504,10.634668410159986,0.01,2
