event,charge,layer_id,trajectory_step,x,y,z,r,phi,photon_pT,weight,beamspot_z0
11.0,1,2,70,1.974710914912846,50.46137648541232,107.3690833445388,50.49999999999999,1.5316831683168322,30.425234685013383,0.01,-14.230916655461199
11.0,1,3,169,3.664427031301381,88.42410290487696,198.56908334453883,88.50000000000001,1.529378531073446,30.425234685013383,0.01,-14.230916655461199
11.0,1,4,258,5.320875495037123,122.38438741917336,280.5690833445388,122.5,1.5273469387755103,30.425234685013383,0.01,-14.230916655461199
11.0,1,5,718,16.41944320053448,298.54882663474734,704.2532048013036,299.0,1.515854163431621,30.425234685013383,0.01,-14.230916655461199
11.0,1,6,906,22.049945963315817,370.34416410011767,877.6821514447054,371.00000000000006,1.5113274639886027,30.425234685013383,0.01,-14.230916655461199
11.0,1,7,1093,28.44603893943775,442.0857641551648,1053.5821544502508,443.0,1.5065398403480754,30.425234685013383,0.01,-14.230916655461199
11.0,1,8,1279,35.392950946340164,512.7800103585453,1223.889006498963,513.9999999999999,1.5018839152657435,30.425234685013383,0.01,-14.230916655461199
11.0,-1,1,25,1.2786624944568898,33.22540477142858,65.7690833445388,33.25,1.5323308270676692,30.425234685013383,0.01,-14.230916655461199
11.0,-1,2,70,1.8747835908217056,50.465187867356505,107.3690833445388,50.50000000000001,1.5336633663366337,30.425234685013383,0.01,-14.230916655461199
11.0,-1,3,169,3.114831481316753,88.44516846523045,198.56908334453883,88.49999999999999,1.5355932203389833,30.425234685013383,0.01,-14.230916655461199
11.0,-1,4,258,4.021827166835667,122.43396140875336,280.5690833445388,122.5,1.5379591836734694,30.425234685013383,0.01,-14.230916655461199
11.0,-1,5,718,6.427756927277412,298.9309016158815,705.1717035541947,299.0,1.5492971558219926,30.425234685013383,0.01,-14.230916655461199
11.0,-1,6,906,6.220016022214508,370.9478553660654,878.3392287808781,371.0,1.5540299994374498,30.425234685013383,0.01,-14.230916655461199
11.0,-1,7,1093,5.268389430270601,442.9686716606616,1050.0713579339154,443.0,1.5589035195153853,30.425234685013383,0.01,-14.230916655461199
11.0,-1,8,1279,3.7352984203712154,513.9864273944505,1223.3092617382458,514.0,1.5635291452800617,30.425234685013383,0.01,-14.230916655461199
13.0,1,1,19,-6.332109062131904,-32.64149038915452,55.74394791230701,33.25,-1.762406015037594,86.36514827613009,0.01,-0.7560520876929958
13.0,1,2,53,-9.615711956329177,-49.57608378616556,84.84394791230702,50.5,-1.7623762376237624,86.36514827613009,0.01,-0.7560520876929958
13.0,1,3,128,-16.97860905418816,-86.85606964734843,149.243947912307,88.50000000000001,-1.7638418079096043,86.36514827613009,0.01,-0.7560520876929958
13.0,1,4,195,-23.57936360700875,-120.20924927761786,206.843947912307,122.5,-1.7644897959183674,86.36514827613009,0.01,-0.7560520876929958
13.0,1,5,542,-58.71789932554781,-293.1777759292045,504.75506172724835,299.0,-1.7684619370565982,86.36514827613009,0.01,-0.7560520876929958
13.0,1,6,684,-73.43420637557105,-363.6597549000852,627.953348653539,371.0,-1.770048001107527,86.36514827613009,0.01,-0.7560520876929958
13.0,1,7,826,-88.40270048852483,-434.0898093094748,750.7297321392151,443.0,-1.7716997134171948,86.36514827613009,0.01,-0.7560520876929958
13.0,1,8,966,-103.35330929175925,-503.5018306406064,870.8692571211589,514.0,-1.773253045995096,86.36514827613009,0.01,-0.7560520876929958
13.0,-1,1,19,-6.332109062131898,-32.641490389154534,55.74394791230701,33.25000000000001,-1.7624060150375938,86.36514827613009,0.01,-0.7560520876929958
13.0,-1,2,53,-9.615711956329177,-49.57608378616556,84.84394791230702,50.5,-1.7623762376237624,86.36514827613009,0.01,-0.7560520876929958
13.0,-1,3,128,-16.782280962486684,-86.89421756190775,149.243947912307,88.5,-1.761581920903955,86.36514827613009,0.01,-0.7560520876929958
13.0,-1,4,195,-23.13762050857808,-120.29505607962876,206.843947912307,122.5,-1.7608163265306125,86.36514827613009,0.01,-0.7560520876929958
13.0,-1,5,542,-55.278974597582426,-293.8455971551044,506.64044857488864,299.00000000000006,-1.756745587942385,86.36514827613009,0.01,-0.7560520876929958
13.0,-1,6,684,-67.93507449536985,-364.7270563768317,630.1442177833319,371.0,-1.7549488056863185,86.36514827613009,0.01,-0.7560520876929958
13.0,-1,7,826,-80.3757538086398,-435.6474930487871,751.1183540790214,443.0,-1.7532419129644476,86.36514827613009,0.01,-0.7560520876929958
13.0,-1,8,966,-92.41129581289356,-505.6245172123103,869.7679445060128,514.0,-1.7515677838709016,86.36514827613009,0.01,-0.7560520876929958
15.0,1,1,9,-32.72650815704069,-5.876917886711421,-41.1369767408111,33.24999999999999,-2.9639097744360914,37.29706364182638,0.01,-38.3869767408111
15.0,1,2,27,-49.70890403377141,-8.903643061202802,-42.3869767408111,50.5,-2.9643564356435648,37.29706364182638,0.01,-38.3869767408111
15.0,1,3,65,-87.1407232190688,-15.451354531484936,-45.5869767408111,88.49999999999999,-2.9661016949152548,37.29706364182638,0.01,-38.3869767408111
15.0,1,4,99,-120.65371249563536,-21.188007481133468,-48.3869767408111,122.5,-2.9677551020408166,37.29706364182638,0.01,-38.3869767408111
15.0,1,5,276,-294.97424267812005,-48.89985845040414,-63.77242614791213,299.00000000000006,-2.977310008142008,37.29706364182638,0.01,-38.3869767408111
15.0,1,6,348,-366.2332203399008,-59.28092711374913,-70.1493142266025,371.0,-2.9811179129698524,37.29706364182638,0.01,-38.3869767408111
15.0,1,7,421,-437.5716778378066,-69.13773755487529,-74.66534737739366,443.0,-2.984884926248982,37.29706364182638,0.01,-38.3869767408111
15.0,1,8,492,-508.0144185810996,-78.21349316906522,-81.36005572591152,514.0,-2.988832895286037,37.29706364182638,0.01,-38.3869767408111
15.0,-1,1,9,-32.7265081570407,-5.876917886711452,-41.1369767408111,33.25,-2.9639097744360905,37.29706364182638,0.01,-38.3869767408111
15.0,-1,2,27,-49.691175610082325,-9.002059013801231,-42.3869767408111,50.50000000000001,-2.962376237623762,37.29706364182638,0.01,-38.3869767408111
15.0,-1,3,65,-87.06103085457246,-15.894241301150018,-45.5869767408111,88.50000000000001,-2.961016949152542,37.29706364182638,0.01,-38.3869767408111
15.0,-1,4,99,-120.46767107668792,-22.22139116614724,-48.3869767408111,122.5,-2.959183673469388,37.29706364182638,0.01,-38.3869767408111
15.0,-1,5,276,-293.526511472466,-56.94898649497028,-61.725371237124236,299.0,-2.9499570230253798,37.29706364182638,0.01,-38.3869767408111
15.0,-1,6,348,-363.92347573707815,-72.1159053707591,-65.17227783486868,371.0,-2.9459647559302424,37.29706364182638,0.01,-38.3869767408111
15.0,-1,7,421,-434.2285215475048,-87.71881824710206,-75.55543326799605,443.0,-2.942264454489663,37.29706364182638,0.01,-38.3869767408111
15.0,-1,8,492,-503.4500314999195,-103.60533665178691,-79.87143869539193,514.0,-2.938635359606944,37.29706364182638,0.01,-38.3869767408111
17.0,1,1,15,-26.593072078311284,19.95923388904848,81.07290886882728,33.25000000000001,2.497744360902256,81.69968174131078,0.01,39.572908868827284
17.0,1,2,43,-40.36780342305107,30.34288131997201,102.37290886882728,50.5,2.497029702970297,81.69968174131078,0.01,39.572908868827284
17.0,1,3,103,-70.69119080840997,53.244770091427526,149.57290886882728,88.5,2.496045197740113,81.69968174131078,0.01,39.572908868827284
17.0,1,4,158,-97.77983386550488,73.79264251423896,191.9729088688273,122.5,2.495102040816327,81.69968174131078,0.01,39.572908868827284
17.0,1,5,440,-237.9076523031322,181.1103226644245,411.34219035792944,299.0,2.490922029363244,81.69968174131078,0.01,39.572908868827284
17.0,1,6,555,-294.8097847199794,225.2291962276637,501.30197291859247,371.0,2.489203324937498,81.69968174131078,0.01,39.572908868827284
17.0,1,7,670,-351.5873931480623,269.5093782771757,591.2901892881861,442.9999999999999,2.4875833000894216,81.69968174131078,0.01,39.572908868827284
17.0,1,8,783,-407.364471504755,313.4488592348864,678.3060185794735,514.0,2.4857558146576224,81.69968174131078,0.01,39.572908868827284
17.0,-1,1,15,-26.593072078311287,19.95923388904846,81.07290886882728,33.25,2.497744360902256,81.69968174131078,0.01,39.572908868827284
17.0,-1,2,43,-40.397826088697606,30.30289833179894,102.37290886882728,50.5,2.498019801980198,81.69968174131078,0.01,39.572908868827284
17.0,-1,3,103,-70.81133735700367,53.08488016104603,149.57290886882728,88.5,2.498305084745763,81.69968174131078,0.01,39.572908868827284
17.0,-1,4,158,-98.08021299699834,73.39292757795835,191.9729088688273,122.5,2.499183673469388,81.69968174131078,0.01,39.572908868827284
17.0,-1,5,440,-240.12421260007895,178.16105781901967,411.2598876052133,299.0,2.503261070513287,81.69968174131078,0.01,39.572908868827284
