pileup_event,particle_id,pdg_id,charge,mass,pT,eta,layer_id,trajectory_step,x,y,z,r,phi,pileup_z0
9,829,-211,-1.0,0.13957,0.3003515672677286,-1.7290182502668603,2,149,30.28272403833116,40.4129512015428,-122.4,50.5,0.9277227722772278,16.247615087470276
9,829,-211,-1.0,0.13957,0.3003515672677286,-1.7290182502668603,3,264,43.40468533889324,77.12511452589014,-228.8,88.50000000000001,1.05819209039548,16.247615087470276
9,829,-211,-1.0,0.13957,0.3003515672677286,-1.7290182502668603,4,371,46.75573602796353,113.22610630275773,-328.0,122.5,1.179183673469388,16.247615087470276
9,829,-211,-1.0,0.13957,0.3003515672677286,-1.7290182502668603,5,1310,-186.00238935183032,234.1027790424756,-1198.7739648878432,299.0,2.242194846875787,16.247615087470276
9,830,211,1.0,0.13957,0.1251201644959132,-0.7756428883276744,1,58,-4.160091352427613,-32.988727467719286,-12.5,33.25,-1.6962406015037597,16.247615087470276
9,830,211,1.0,0.13957,0.1251201644959132,-0.7756428883276744,2,89,-13.556448866502304,-48.64640474002069,-28.400000000000002,50.49999999999999,-1.842574257425743,16.247615087470276
9,830,211,1.0,0.13957,0.1251201644959132,-0.7756428883276744,3,169,-53.04772710035412,-70.8391745398431,-68.0,88.5,-2.2135593220338983,16.247615087470276
9,830,211,1.0,0.13957,0.1251201644959132,-0.7756428883276744,4,295,-115.27071362864213,-41.45977061614762,-130.4,122.5,-2.796326530612245,16.247615087470276
9,832,211,1.0,0.13957,0.785994339753022,-1.4731204285417938,1,76,12.141544614591844,30.95392373144116,-52.5,33.25000000000001,1.1969924812030075,16.247615087470276
9,832,211,1.0,0.13957,0.785994339753022,-1.4731204285417938,2,116,19.45839099829256,46.60065471382957,-88.0,50.49999999999999,1.1752475247524754,16.247615087470276
9,832,211,1.0,0.13957,0.785994339753022,-1.4731204285417938,3,204,38.0350139363072,79.90987244930952,-167.20000000000002,88.5,1.1265536723163843,16.247615087470276
9,832,211,1.0,0.13957,0.785994339753022,-1.4731204285417938,4,283,57.428804134831374,108.20435506782144,-238.0,122.5,1.082857142857143,16.247615087470276
9,832,211,1.0,0.13957,0.785994339753022,-1.4731204285417938,5,706,197.58554866849025,224.41245722412933,-617.7203094329129,299.0,0.8488839075978177,16.247615087470276
9,832,211,1.0,0.13957,0.785994339753022,-1.4731204285417938,6,890,272.0969876058925,252.198789322627,-782.3629671338648,371.0,0.7474641311178556,16.247615087470276
9,832,211,1.0,0.13957,0.785994339753022,-1.4731204285417938,7,1084,355.281488749554,264.6206034153436,-956.5297437741928,443.0,0.6401773769005943,16.247615087470276
9,832,211,1.0,0.13957,0.785994339753022,-1.4731204285417938,8,1290,444.5141503397441,258.0758999746692,-1141.8543247424027,514.0,0.5260174750630389,16.247615087470276
9,835,321,1.0,0.49368,0.2904717689979821,-0.094573025438166,1,65,1.1287609473776197,-33.230835059078416,13.0,33.25,-1.536842105263158,16.247615087470276
9,835,321,1.0,0.49368,0.2904717689979821,-0.094573025438166,2,100,-1.3246335513920295,-50.482624198376676,11.600000000000001,50.5,-1.5970297029702971,16.247615087470276
9,835,321,1.0,0.49368,0.2904717689979821,-0.094573025438166,3,177,-14.173229468446435,-87.35771040059808,7.6000000000000005,88.5,-1.731638418079096,16.247615087470276
9,835,321,1.0,0.49368,0.2904717689979821,-0.094573025438166,4,249,-34.64801389673739,-117.49793671810367,4.4,122.5,-1.8575510204081633,16.247615087470276
9,836,-321,-1.0,0.49368,0.3265367621565685,1.0619710757097145,1,73,-32.56559449673906,6.711524050017137,58.75,33.25,2.9383458646616543,16.247615087470276
9,836,-321,-1.0,0.49368,0.3265367621565685,1.0619710757097145,2,112,-49.9366053685991,7.522329709657728,80.80000000000001,50.5,2.992079207920792,16.247615087470276
9,836,-321,-1.0,0.49368,0.3265367621565685,1.0619710757097145,3,198,-88.46089611689175,2.630562334651649,130.4,88.5,3.1118644067796613,16.247615087470276
9,836,-321,-1.0,0.49368,0.3265367621565685,1.0619710757097145,4,278,-122.10459658872702,-9.834505168244707,176.0,122.5,-3.061224489795918,16.247615087470276
9,836,-321,-1.0,0.49368,0.3265367621565685,1.0619710757097145,5,837,-196.39407823325024,-225.4559070747804,497.6415488546564,299.0,-2.287411784729722,16.247615087470276
9,837,211,1.0,0.13957,0.4987036888760224,0.0064647750142433,1,34,8.725590957850871,32.08467800113119,16.5,33.25000000000001,1.3052631578947367,16.247615087470276
9,837,211,1.0,0.13957,0.4987036888760224,0.0064647750142433,2,52,14.900090150331451,48.25181150497871,16.400000000000002,50.5,1.2712871287128713,16.247615087470276
9,837,211,1.0,0.13957,0.4987036888760224,0.0064647750142433,3,92,32.53416653162636,82.30296475882508,16.8,88.5,1.1943502824858758,16.247615087470276
9,837,211,1.0,0.13957,0.4987036888760224,0.0064647750142433,4,128,52.87550815539583,110.50081736036466,17.2,122.5,1.1244897959183673,16.247615087470276
9,837,211,1.0,0.13957,0.4987036888760224,0.0064647750142433,5,333,222.9536709428477,199.230169936956,18.32072451306569,299.0,0.7292648482530012,16.247615087470276
9,837,211,1.0,0.13957,0.4987036888760224,0.0064647750142433,6,434,319.5324628793682,188.5205696104412,18.952966888366426,371.0,0.5330257911791559,16.247615087470276
9,837,211,1.0,0.13957,0.4987036888760224,0.0064647750142433,7,566,426.0219354128528,121.46732296007475,19.77541564652639,443.0,0.2777500275469436,16.247615087470276
9,838,-211,-1.0,0.13957,0.2609899375671455,-0.665190012799675,1,44,7.1721619963091126,-32.46725415397334,-7.5,33.25,-1.3533834586466165,16.247615087470276
9,838,-211,-1.0,0.13957,0.2609899375671455,-0.665190012799675,2,68,14.181862230506425,-48.46777056637675,-20.0,50.50000000000001,-1.286138613861386,16.247615087470276
9,838,-211,-1.0,0.13957,0.2609899375671455,-0.665190012799675,3,121,37.40177527431818,-80.20821158914715,-48.400000000000006,88.5,-1.1344632768361582,16.247615087470276
9,838,-211,-1.0,0.13957,0.2609899375671455,-0.665190012799675,4,171,67.02628880461508,-102.53646477756257,-74.8,122.5,-0.9918367346938776,16.247615087470276
9,839,321,1.0,0.49368,0.1525361149727482,-0.4612094919035886,1,114,-32.205061992245625,-8.27021656763692,0.25,33.25,-2.8902255639097745,16.247615087470276
9,839,321,1.0,0.49368,0.1525361149727482,-0.4612094919035886,2,176,-50.042811957057104,-6.779894647457538,-8.4,50.50000000000001,-3.0069306930693065,16.247615087470276
9,839,321,1.0,0.49368,0.1525361149727482,-0.4612094919035886,3,323,-87.54237802971264,12.983915006764652,-28.8,88.50000000000001,2.9943502824858754,16.247615087470276
9,839,321,1.0,0.49368,0.1525361149727482,-0.4612094919035886,4,486,-109.67967746533778,54.55839395637921,-51.6,122.5,2.68,16.247615087470276
9,840,-321,-1.0,0.49368,0.370288074238305,-1.5929271613461384,1,96,-32.91015729646508,-4.741734568902624,-62.25,33.25,-2.998496240601504,16.247615087470276
9,840,-321,-1.0,0.49368,0.370288074238305,-1.5929271613461384,2,146,-49.59018827072512,-9.542705448353537,-103.2,50.49999999999999,-2.9514851485148523,16.247615087470276
9,840,-321,-1.0,0.49368,0.370288074238305,-1.5929271613461384,3,258,-84.67016881919139,-25.752912692152506,-194.4,88.5,-2.846327683615819,16.247615087470276
9,840,-321,-1.0,0.49368,0.370288074238305,-1.5929271613461384,4,360,-113.25564473386501,-46.68414008971948,-278.0,122.5,-2.7506122448979595,16.247615087470276
9,840,-321,-1.0,0.49368,0.370288074238305,-1.5929271613461384,5,1005,-162.9505239692629,-250.6952866292916,-804.4369138894128,299.0,-2.1471675869604288,16.247615087470276
9,846,-211,-1.0,0.13957,0.1619697727322462,0.1947923642467703,1,44,21.99135583055058,-24.938780417937625,22.75,33.25,-0.8481203007518798,16.247615087470276
9,846,-211,-1.0,0.13957,0.1619697727322462,0.1947923642467703,2,68,37.37347140253533,-33.96282725751603,26.400000000000002,50.5,-0.7376237623762376,16.247615087470276
9,846,-211,-1.0,0.13957,0.1619697727322462,0.1947923642467703,3,125,78.65089171401017,-40.574465277943574,34.800000000000004,88.50000000000001,-0.47627118644067795,16.247615087470276
9,846,-211,-1.0,0.13957,0.1619697727322462,0.1947923642467703,4,185,120.156490108587,-23.846758370584404,43.6,122.5,-0.19591836734693877,16.247615087470276
9,852,211,1.0,0.13957,0.2397448629030814,0.8809943998876887,1,51,16.814572424551308,-28.68505977298145,49.5,33.25,-1.0406015037593985,16.247615087470276
9,852,211,1.0,0.13957,0.2397448629030814,0.8809943998876887,2,77,22.325437900112927,-45.29707300221728,67.2,50.5,-1.112871287128713,16.247615087470276
9,852,211,1.0,0.13957,0.2397448629030814,0.8809943998876887,3,138,25.45092694371057,-84.76143178183051,106.80000000000001,88.5,-1.2790960451977402,16.247615087470276
9,852,211,1.0,0.13957,0.2397448629030814,0.8809943998876887,4,196,16.274293616840573,-121.41415637096385,144.8,122.5,-1.4375510204081634,16.247615087470276
9,853,-211,-1.0,0.13957,0.3177586213099616,0.5672655719268418,1,41,-13.56353358584262,-30.35775117932352,36.25,33.24999999999999,-1.990977443609023,16.247615087470276
9,853,-211,-1.0,0.13957,0.3177586213099616,0.5672655719268418,2,63,-18.018732860091347,-47.17600307483312,46.400000000000006,50.49999999999999,-1.9356435643564358,16.247615087470276
9,853,-211,-1.0,0.13957,0.3177586213099616,0.5672655719268418,3,111,-21.22558106529355,-85.9169640317944,70.0,88.5,-1.8129943502824861,16.247615087470276
9,853,-211,-1.0,0.13957,0.3177586213099616,0.5672655719268418,4,156,-15.73386599731619,-121.48537138593477,91.60000000000001,122.5,-1.699591836734694,16.247615087470276
9,853,-211,-1.0,0.13957,0.3177586213099616,0.5672655719268418,5,485,193.2114499106509,-228.18925396132047,249.38862774293253,299.0,-0.8682119944245112,16.247615087470276
9,854,2212,1.0,0.93827,2.0520958174657484,1.38432946069761,1,72,30.34591883210486,-13.58998565986379,78.5,33.25,-0.42105263157894735,16.247615087470276
9,854,2212,1.0,0.93827,2.0520958174657484,1.38432946069761,2,109,45.9090213956025,-21.03834010795794,110.80000000000001,50.5,-0.42970297029702975,16.247615087470276
9,854,2212,1.0,0.93827,2.0520958174657484,1.38432946069761,3,192,79.7655316794287,-38.33679636978104,182.0,88.50000000000001,-0.44802259887005647,16.247615087470276
9,854,2212,1.0,0.93827,2.0520958174657484,1.38432946069761,4,266,109.52115395971643,-54.87592218206536,245.60000000000002,122.5,-0.4644897959183674,16.247615087470276
