pileup_event,particle_id,pdg_id,charge,mass,pT,eta,layer_id,trajectory_step,x,y,z,r,phi
5,455,-211,-1.0,0.13957,1.9325499564553736,1.0315739035762337,3,140,50.16823788927553,72.9067754538977,108.40765138823346,88.5,0.9680915613756979
5,455,-211,-1.0,0.13957,1.9325499564553736,1.0315739035762337,4,194,67.65186898068895,102.12479925767148,150.10400992570683,122.5,0.985723431028611
5,455,-211,-1.0,0.13957,1.9325499564553736,1.0315739035762337,5,475,141.5334616342487,263.38048378311305,367.609097682127,299.00000000000006,1.0776995001548118
5,455,-211,-1.0,0.13957,1.9325499564553736,1.0315739035762337,6,591,163.11993025870433,333.2159785370375,457.13727507131887,371.0,1.1155580212788112
5,455,-211,-1.0,0.13957,1.9325499564553736,1.0315739035762337,7,707,179.46275182612797,405.02113612377514,547.3343382675962,443.0,1.15369959966376
5,455,-211,-1.0,0.13957,1.9325499564553736,1.0315739035762337,8,823,190.24554910410689,477.4962105044153,637.0796301263922,514.0,1.1916500331522912
5,470,2212,1.0,0.93827,1.766277023927891,0.0988706598114278,1,37,-31.575835882317605,10.417729519091205,3.293002991150867,33.25000000000001,2.8229106767249452
5,470,2212,1.0,0.93827,1.766277023927891,0.0988706598114278,2,57,-47.80031623568187,16.290480894338522,5.001789879332765,50.5,2.8131347236813244
5,470,2212,1.0,0.93827,1.766277023927891,0.0988706598114278,3,100,-83.1343911664196,30.346713255124246,8.767993180044169,88.5,2.7915895586591892
5,470,2212,1.0,0.93827,1.766277023927891,0.0988706598114278,4,139,-114.24105714713328,44.21799251329066,12.141159119422626,122.5,2.7722921282627557
5,470,2212,1.0,0.93827,1.766277023927891,0.0988706598114278,5,341,-266.5705375362411,135.42949648300197,29.753995844308584,298.99999999999994,2.6715307679234805
5,470,2212,1.0,0.93827,1.766277023927891,0.0988706598114278,6,425,-323.49583753919626,181.6354676125066,37.0168689382923,371.0,2.6299806598875684
5,470,2212,1.0,0.93827,1.766277023927891,0.0988706598114278,7,509,-376.8469276062837,232.884935437448,44.34526051550294,442.99999999999994,2.588055305451791
5,470,2212,1.0,0.93827,1.766277023927891,0.0988706598114278,8,593,-425.5728455247604,288.24252488478936,51.65072603053927,514.0,2.546261313716996
5,471,-211,-1.0,0.13957,0.0929915323816498,-0.5342267881388606,1,64,29.333975197180692,-15.655043887871658,-19.042332283084413,33.25,-0.49022951863325803
5,471,-211,-1.0,0.13957,0.0929915323816498,-0.5342267881388606,2,100,48.51046136567982,-14.03513940397053,-29.898139732434935,50.5,-0.281631823274292
5,471,-211,-1.0,0.13957,0.0929915323816498,-0.5342267881388606,3,221,81.34970166404676,34.849333410706535,-65.61667985021757,88.5,0.4047378222705465
5,476,2212,1.0,0.93827,2.504720925231141,0.8315297924080656,1,47,19.571774528027188,26.87951156223019,30.947466807205018,33.25000000000001,0.9414396690289742
