event,pT,eta,phi,px,py,pz,E
119,8.57049201298586,-0.1543643911540618,0.728267359499511,6.396404407376922,5.704326779028661,-1.3282391150951114,8.672805341498393
120,255.3710074355975,1.49621020279344,0.5468138436852885,218.1342257734609,132.78482964889017,541.4834667679181,598.6807966033946
121,28.13474229492057,-1.8915899839451915,0.4483456383893268,25.35405798454469,12.195715137618542,-91.14348159978344,95.38709536479058
122,0.8500617551435476,-0.7053006555273663,-1.572024021609829,-0.0010436161469994,-0.850061114522401,-0.6505077251938247,1.070404263862291
123,21.924112452302992,-0.4492952086543856,-0.1179950644535638,21.77166654609156,-2.580938322979609,-10.18517022850308,24.17445758243218
124,2.967618391265808,1.057694985023767,-2.402301608376694,-2.1929109646334224,-1.999475035445448,3.757702578672918,4.788223844594587
125,2.3727404809030097,-0.5317459648419558,0.1063972893986829,2.359322979946265,0.2519771140665759,-1.3219996371336646,2.7161701769766537
126,0.8729115499334454,-2.43036016239215,2.6971353218828984,-0.7881030674031128,0.3753240322135191,-4.921025213999232,4.997845909071566
127,1.6779454485341316,0.5242684574778312,1.8929591446530496,-0.5312691525606362,1.591619934467369,0.9205497232169952,1.913873747448168
128,15.01800032482503,0.2180841378439023,-0.923797089781721,9.052772889694989,-11.982805880262273,3.3012111588382798,15.376551267162707
129,11.364483880870951,-0.4662770991180317,2.0663748774324344,-5.404274372092614,9.997265245541838,-5.493109774408067,12.622430386905414
130,5.355945745071492,0.1816642474692848,2.362975555661565,-3.812819710255634,3.761457255005772,0.978344410162765,5.444567256361716
131,98.69751021792328,-1.2342060728666897,-0.4917777532250623,87.00134282904469,-46.60434388723975,-155.18130703813475,183.90877243155344
131,1.236132777216425,0.2642273510526701,-1.9601257632886329,-0.4691965936145653,-1.143625288042058,0.3304339347721012,1.2795353954298276
132,69.54936436011978,-2.454506703803309,-2.05444612071828,-32.34138926532458,-61.572304027748125,-401.8139503848951,407.788627608485
132,3.496768740976945,-1.1139017874594854,-2.943548044659518,-3.428418032377325,-0.6879981272819603,-4.752013162966,5.899917010337994
133,8.676041083827851,0.8958844774612531,1.7678351497524756,-1.6984765775731354,8.508164678924837,8.855006147994468,12.396968289436275
133,6.050638165314815,-1.2247633488430818,-1.2714018433042564,1.784585388601125,-5.781477077560337,-9.407330586800343,11.18517281837494
134,8.464748668460873,0.4166015158873615,-2.42709994820785,-6.394488986354038,-5.546393478974155,3.629321899526704,9.209991719355356
135,37.74933799765712,-1.0298367245695512,-1.7261571568764738,-5.841203969190184,-37.29467596657298,-46.12107042463846,59.60004745279839
136,1.642822168082913,0.2078385699485274,-0.3128173765467122,1.5630965444025384,-0.5055629227123821,0.343905327871652,1.6784324682521938
137,1.039909535680084,0.289972523527373,-1.034341257010317,0.5314897045445084,-0.8938291427121623,0.3057888518366958,1.0839366514266289
137,0.84044093853347,-0.0574652394382717,-3.0222606851712297,-0.8344640468666333,-0.1000536138776661,-0.0483227251738184,0.8418289950644633
138,2.3704395051861327,0.4790384523369551,0.8681533508907742,1.531865464012401,1.8089697752901093,1.1794626054850093,2.647662268017687
139,1.706300845964646,0.7232696283704783,-0.9210419799391912,1.0322963598932782,-1.3586120867601443,1.3445634296075173,2.1723980742897
140,82.62467232587623,2.317680577409968,-1.303203848154484,21.84681992492536,-79.68408207494332,415.33762762163263,423.4763055890192
141,38.90683186550079,-0.3446696155233069,-2.5092965534358926,-31.385076936098432,-22.99387987107722,-13.677096021516476,41.24081135710268
142,2.718859214338233,-0.4992969987161416,-3.120087741970325,-2.718230555086589,-0.0584643206201035,-1.4146298219307858,3.064861001821753
