event,px,py,pz,E,pT,eta,phi
8675,-33.853032623,-65.812373165,133.94884549,153.03460225,74.008758126205,1.355241101477861,-2.045887221011231
8676,1.5429043374,-1.6420769831,-4.1523603237,4.7243059671,2.2532133970830484,-1.3710686949891646,-0.8165256971012905
8677,-1.4914793022,0.95824273947,-2.256162903,2.8693223419,1.772777384963484,-1.0616777416540881,2.570523446768515
8678,-226.70350695,-111.2489768,753.45508601,794.64796076,252.5288397440491,1.813260160612428,-2.685392898959695
8679,-3.3812078086,4.4490651739,8.4774593106,10.153524685,5.588089760065371,1.2041884967497827,2.220655132655144
8680,3.5256828428,1.6407150461,-3.4495454448,5.1982448139,3.8887511324991237,-0.7992157664431607,0.43555439430783627
8681,-14.493696559,-13.591796443,-27.3511025,33.806611461,19.869679677647444,-1.1242610668193442,-2.3882961267002143
8682,-0.84481580307,0.45416611695,-2.4237961093,2.6066776138,0.9591561931730672,-1.6572155057042084,2.6483257131397013
8683,-0.42349853301,0.80024865356,-2.3259363347,2.4959424569,0.905399864693062,-1.672542236323035,2.0575369190659503
8684,49.55589004,-106.42412058,-52.452453669,128.5812567,117.39625070198345,-0.433128288276817,-1.135008220385449
8685,-0.24328587105,-4.4219649958,3.8952554536,5.8979638425,4.42865244054363,0.7935948893518986,-1.6257585089729487
8686,-4.6948217442,11.571838424,29.094846713,31.66163137,12.487946016898693,1.582109851231541,1.9562162345405376
8687,1.3534835845,-2.6611301301,-4.6082832268,5.4908838706,2.9855537816018343,-1.218667703738008,-1.1002826187254775
8688,-0.99871412183,-8.2635249794,-5.1732793939,9.8003109476,8.323657548356397,-0.5871862380363572,-1.6910711086016244
8689,13.287914161,8.0499323682,5.5932018185,16.512237294,15.536089401219934,0.3526580259587897,0.5446795699931425
8690,3.6935217309,-5.1045307671,-0.37850028626,6.3120202468,6.300661642153231,-0.060037028293666674,-0.9444214114921139
8691,-3.528532497,-8.4230907847,49.344881264,50.182828806,9.132305292185709,2.388617939411003,-1.9674989714133237
8692,-7.9855934647,-3.0531152714,-9.4916716867,12.774312007,8.549340082363974,-0.9572060223445276,-2.776413041201137
8693,-5.4251000681,4.1704860155,8.3816156963,10.820173106,6.84285498563134,1.0317984013495662,2.4862060545210536
8694,-8.2872985494,4.9060764249,-31.278503552,32.727567701,9.630623195507491,-1.8940300044959493,2.6070766581452065
8695,1.2190475837,1.7267526782,-3.1698261455,3.8099277704,2.1137057087011146,-1.1945709934370146,0.9560702422679502
8696,-166.24103886,33.304515876,584.11379204,608.22215993,169.54431213988502,1.9505553256095605,2.9438714287916383
8697,-0.76659414403,9.2351162237,-5.7339236777,10.89738129,9.26687856006045,-0.584840162887783,1.6536150643497607
8698,11.503861454,2.0575664051,-54.999233025,56.227111265,11.686419805236467,-2.2531397955781967,0.1769872952918321
8699,-0.43716008774,-2.823520984,12.913059342,13.225372632,2.8571628741465145,2.2135775902850363,-1.7244046512629787
8700,-71.400301062,111.89577555,-333.37019039,358.82356586,132.73532904875105,-1.6515087726367186,2.1387579568820207
8701,-10.129844205,-31.906778866,-71.090626295,78.578199447,33.476204701569685,-1.4975901458317613,-1.87821395950199
8702,15.195437503,5.7851946018,75.920126209,77.641711477,16.25945255807448,2.245428901741275,0.3637752994531872
8703,-12.319091443,19.774947237,50.838140579,55.922491806,23.298252127726872,1.522210906160136,2.1279306208268274
8704,1.4050331934,0.64889686035,1.1816922452,1.9471984933,1.547638656123544,0.7039482234494411,0.4326541797492842
8705,-0.038202571936,-0.92142865847,1.2600266186,1.5614599863,0.9222202606494553,1.118235100438712,-1.612232747043444
8706,-5.5558051795,-4.3730797219,21.672826202,22.796977717,7.0704170631336885,1.8388909265145514,-2.4747554893333743
8707,191.72115438,-111.46944483,-81.096907946,236.13374737,221.77113916717886,-0.35798318310456306,-0.526641528691911
8708,-26.921965677,22.559096987,-9.1545543402,36.297533772,35.12413832085335,-0.25777016707474854,2.4441395481933217
8709,-26.96532376,13.3447442,-75.477292174,81.252892362,30.08672270695255,-1.650441788720023,2.6820451145743998
8710,3.1647807156,1.0673571185,1.4369689784,3.6359273977,3.3399233817928025,0.41796406467525665,0.3252812821713733
8711,2.8448542323,-3.0601553385,7.7874266399,8.8375200125,4.178246797256628,1.3810126455969536,-0.8218427742838994
8712,-10.021396941,-7.2890303301,18.723395437,22.452703545,12.391866679487876,1.2008176217690802,-2.512747964808154
8713,-16.318394178,114.33935139,429.59654994,444.85163031,115.49795350929159,2.0243402249945763,1.712557966956066
8714,15.571230628,20.605544879,94.920263922,98.371277343,25.827344095567558,2.012765846283489,0.9236689148122053
8715,2.1467334874,-3.5442728764,21.597521432,21.991436217,4.143710280450275,2.3532122638564013,-1.0262029154882244
8716,-0.078110947508,-1.2387078313,-0.59564828174,1.3766972387,1.2411681640473005,-0.46317045009658026,-1.6337713555694218
8717,-2.1825259656,-22.643693687,14.84998109,27.166564408,22.748632560688165,0.6135584447788321,-1.6668850980081549
8718,-0.84899239966,0.13507304567,4.5341475054,4.6149243139,0.8596701823065721,2.3648589058676768,2.9838169393972542
8719,-2.1151078444,0.045551866013,3.0327768689,3.6977684761,2.115598299758175,1.157318515772402,3.1200595551685173
8720,-0.93607907156,-0.76959489233,0.35409469761,1.2624988639,1.2118252046038058,0.28819353896164546,-2.453492384716116
8721,-0.27343123389,-0.72487081104,-2.4363832806,2.5565926195,0.7747272632122838,-1.8632763347823336,-1.9315064014001564
8722,1.9365232007,2.7245348763,10.549302738,11.06620986,3.3426355468439013,1.8666516510352646,0.9528773345167091
8723,-4.5844452134,3.7083830386,11.032739446,12.509619593,5.896544977835949,1.3844347284619523,2.4614450565953363
8724,285.63970971,24.695688231,474.35488103,554.26751117,286.7052855815808,1.2775208940416032,0.08624301642508078
8725,-17.329010971,34.983178283,4.2900107229,39.274948453,39.039946004230096,0.10966776015119269,2.0307191695630187
8726,-0.20189608263,-0.45942019206,0.91816560701,1.0463541575,0.5018256082084563,1.364750434461184,-1.9848493941174477
8727,80.262881842,35.790456749,-387.48296749,397.32371826,87.88109578222664,-2.1894527107496535,0.41945200000632127
8728,17.382160187,-1.395308662,-31.39055291,35.908956975,17.438072686761576,-1.3504970527877747,-0.0801007016811831
8729,-1.9978097953,0.1389548153,-2.8575177092,3.4894068088,2.00263636711503,-1.1535058716293276,3.072150912995245
8730,7.1021152127,-0.28700600817,-0.33804448657,7.1159459679,7.107911996021788,-0.04754099122514606,-0.040389365452842656
8731,-0.16138797594,-0.85498972977,-0.46282562739,0.98552578767,0.8700882235671206,-0.5095866205522389,-1.757361335368706
8732,6.6576937826,28.380345905,-48.112088859,56.25426219,29.15079621880543,-1.2754250885763092,1.3403746666751561
8733,-1.0799562625,0.47317911373,5.5936516238,5.7165673696,1.1790691254473917,2.2609814023399926,2.728639660367312
8734,-0.025121694595,0.96485009408,-5.5985148892,5.6811033935,0.9651770840553091,-2.45844109300078,1.5968273343343231
8735,-1.5891592382,-0.041225446749,-4.0045681658,4.3085604112,1.5896938767624598,-1.6542945540426013,-3.1156567991728097
8736,-0.77708930289,-0.48758141735,-2.2503659387,2.4301749487,0.917389461031192,-1.629636862233038,-2.5812364955363045
8737,-0.18704632425,-0.58707690201,1.6689015342,1.7790103842,0.6161538901030288,1.7220273318248054,-1.8792344022264176
8738,2.7067544364,1.3844680508,-5.7690312457,6.5211189896,3.0402748827461363,-1.3968502144073385,0.4727944377936926
8739,-3.6101527703,-3.8201407595,-0.94563050167,5.3404958096,5.256108679174928,-0.17895407411158537,-2.3279409480953426
8740,0.56421361463,0.21714605515,-1.0149862807,1.1813917903,0.6045572034150755,-1.2900686564111767,0.36739123684553604
8741,-4.5987558678,-5.2241318825,-33.035972326,33.761154852,6.959892919964927,-2.261495984144038,-2.2926151087472824
8742,-1.3638371032,-1.7163655388,-3.6718752546,4.2765208046,2.1922505118816105,-1.2880415075783838,-2.2422405609627427
8743,3.8119076576,3.066425191,25.857656015,26.316382313,4.8921982218700935,2.366943284525064,0.6774382917805317
8744,-0.49468501797,0.13788400652,1.3538814377,1.4480055986,0.5135418836453232,1.6967168196289752,2.8697611622110015
8745,50.78051376,-66.549047681,-151.84990013,173.39500712,83.71043139882605,-1.3572148611666648,-0.9189929028437624
8746,1.2343066528,0.54390440436,4.1637491328,4.3767741266,1.348830943531674,1.845584027984556,0.4150561848037391
8747,2.9971195803,-1.0347819962,0.81080855755,3.2727526755,3.1707253993806064,0.2530090646280365,-0.3324448308226252
8748,-14.363268516,28.677188397,-57.447140823,65.794062084,32.07311361280267,-1.3461253373576498,2.0351320318283905
8749,-6.5359265544,8.4612097766,5.7441431439,12.136951317,10.691604501109387,0.5142851718959707,2.2285161152863298
8750,-170.09282261,49.281438783,330.36178215,374.83214326,177.08819416313304,1.381824955898173,2.8595818889347715
8751,3.5331568957,6.7034636693,-5.8623678754,9.5805521721,7.577573676003254,-0.7119575960621272,1.0857323753206172
8752,-7.0449143644,-28.001713669,48.382779618,56.343767627,28.874327469265687,1.288399763619041,-1.8172696645286344
8753,1.7432946406,2.2170087564,3.2728595718,4.3203950984,2.8203198453187817,0.9904100109587022,0.9044481411286589
8754,-26.19493874,2.8677372745,-15.701041378,30.674442668,26.35144650048474,-0.5652477893982418,3.032550131121008
8755,0.96600907086,0.550873408,3.6134953666,3.7807385259,1.1120409329810368,1.894503487368391,0.518262463039484
8756,-0.44535543828,0.42204547993,-0.54597925007,0.82131430953,0.6135665029439881,-0.8012999034674796,2.3830613622361487
8757,2.8986047321,1.5631837958,-1.1313710416,3.4821621741,3.293243533722371,-0.33712103203650595,0.4945821249566795
8758,-0.55233011788,-0.55256036022,1.3127691181,1.5276630087,0.7812755664960929,1.2907835512847174,-2.3559861054327413
8759,-5.2790734815,-0.26327016974,-8.0198738679,9.6050145685,5.285634115728354,-1.2043194226531813,-3.0917634101209512
8760,-6.3986555226,-12.244443124,-2.8153904743,14.099489474,13.815541245777176,-0.20239956914361606,-2.052341406970038
8761,-64.765448376,21.946382657,-33.352770028,76.082943447,68.38279765461333,-0.47021598858107244,2.814876888189001
8762,13.952580687,13.954438476,-30.239337683,36.108425672,19.733242536585685,-1.2126053983895742,0.7854647340686621
8763,8.3752659324,1.1910786547,17.729185651,19.64402636,8.459535909262517,1.485659876354147,0.14126655237710858
8764,118.12186681,-4.7078948534,-1.4058660988,118.22400836,118.21564910209668,-0.011892105429796481,-0.039835167617955226
8765,7.9702599912,44.60133118,-123.22526589,131.29078391,45.30787776265143,-1.7258829786538743,1.3939628293986823
8766,86.506852445,59.774399185,103.09951665,147.26141603,105.14948558061866,0.8675205975139196,0.6046457586698011
8767,502.35089449,-38.62535786,-160.18381634,528.68439969,503.8336426487578,-0.31280384479143225,-0.07673821247354647
8768,2.1364425325,-0.32952112215,6.8424688336,7.1758170687,2.161705545308613,1.8694650988080488,-0.15303232002003098
8769,-2.9667534325,0.043704819996,-7.3642978987,7.9395478197,2.967075334490416,-1.6405274191762662,3.126862188175557
8770,-106.4304084,116.10601515,-270.3426972,312.87891031,157.50567794909117,-1.309105721832792,2.312743101100851
8771,-2.0057303655,-1.8070556486,-7.5025450362,7.9734927376,2.6997045053534894,-1.7461505530740886,-2.408254898325844
8772,0.68209242308,1.8701820566,1.7915093325,2.6781218581,1.9906860622538531,0.8088265633044904,1.2210687539175638
8773,2.438784083,-4.372834898,-4.991279397,7.0698106671,5.006930481708411,-0.8791615249184499,-1.062051205303592
8774,-13.201216854,8.9669602951,-23.41858552,28.339171674,15.958649797530915,-1.176573329072552,2.5449272806754046
8775,1.6491709868,-0.77129401981,2.7573075375,3.3041495524,1.8206206108625582,1.2027727771252115,-0.4374637958134293
8776,0.26631819623,-2.2640752375,-9.5310710839,9.799912146,2.279684641064172,-2.1376720393376556,-1.4537065751216858
8777,11.001419209,-5.5462894854,52.259085235,53.691754873,12.320411992624791,2.151717815457608,-0.4669565859457998
8778,54.940563116,-15.245265542,-42.540608732,71.137802807,57.01652038619397,-0.6900324534236919,-0.27067643390030205
8779,-1.3197586105,5.2562183743,20.191711797,20.906334439,5.419372139677975,2.0259806161852554,1.8167960879492588
8780,-29.964882355,37.065517992,85.772401734,98.125693363,47.66284505318861,1.350229608519833,2.250656509182544
8781,199.17076362,99.614407542,156.20371186,272.01401227,222.69266550768478,0.6538391281546898,0.46376418852056306
8782,-3.09194415,2.2849119644,-0.40108893049,3.8654642208,3.8445989793185826,-0.1041369758744831,2.5051760668667513
8783,1.8176184436,-0.025413928287,3.3616209365,3.8216328964,1.8177961036006935,1.3741276252466543,-0.013981081927576012
8784,-2.7013488429,0.31251941285,-7.7625575199,8.2250989784,2.7193664619622853,-1.771418020865262,3.0264145529870845
8785,0.51319212069,0.088195770758,0.12528115842,0.53557447229,0.5207155141897514,0.2383315509822437,0.17019465458931596
8786,-219.60684819,261.17812622,-575.66930783,669.20574816,341.2347892401007,-1.2942196753747461,2.2699435815219298
8787,0.63993576621,-2.9583512838,-3.9436133822,4.9712620743,3.0267738771232793,-1.0802239558376372,-1.3577636045288022
8788,20.840806485,-26.921779243,21.789889271,40.421784807,34.04587218083925,0.6028338712007631,-0.912033520197484
8789,-4.1450643124,3.8114285249,-6.2053930848,8.3794659073,5.631034146083069,-0.9516908250625706,2.398102457987612
8790,-2.0559219595,-17.493567861,10.310847926,20.409931812,17.613964108370563,0.5562472873436388,-1.687784135679245
8791,-10.154390308,0.87647232362,30.387409099,32.051122882,10.192146302976433,1.812565131085535,3.0554914362645786
8792,-1.0344806413,0.26995206893,-0.70464790375,1.2804503056,1.069123153216713,-0.6188295590980818,2.886331021791781
8793,-210.83116726,-96.260890402,1013.613357,1039.7730414,231.76699529743217,2.1815130745226137,-2.7132818744809146
8794,-34.817657222,39.637750809,-32.069762515,61.740507054,52.758132488035145,-0.5755564028442527,2.2915467108917604
8795,163.16175067,45.052576243,-712.79354333,732.61594777,169.26751462649463,-2.144667555043023,0.26940918146282206
8796,2.852066333,0.58041931366,3.8962557127,4.8633298805,2.910527262799923,1.1018143423771836,0.20076668613918058
8797,-0.49739777918,-0.064519702749,2.670859159,2.71754595,0.5015648938831498,2.3742717233609776,-3.012598417941378
8798,-0.66041070063,12.766797406,9.9538378676,16.202041433,12.78386711051687,0.7158900011027244,1.6224790289528974
8799,-154.87868169,328.74798169,187.46873817,408.90973246,363.40423980366677,0.4953596604202759,2.011071517296508
