event,n_hard_nu,sum_px,sum_py,met_hard_nu
1546,2,51.22862102982885,8.075667365194413,51.86123808791194
1548,2,-111.50438921261322,16.03298791852942,112.65116739418924
1552,2,-84.80336486201978,30.313183394803,90.05831321675868
1559,2,-12.66441142045128,-65.77970619073581,66.987738155322
1560,2,-44.65555936255543,-4.526464898312918,44.88438332492016
1568,2,-13.590994853482332,29.82229197840291,32.7732244363062
1575,2,-0.10112080105804111,5.985112514610897,5.98596669126705
1581,2,-13.254946576960972,0.4900193538451738,13.264001195914913
1584,2,10.878153388786767,-54.68656232854241,55.757997816129716
1605,2,41.26204060849144,-3.9552330889712284,41.45117445820914
1608,2,-116.32118071799175,-12.357919889494266,116.97578923701627
1617,2,-25.65990962792071,-32.41701574863261,41.34360739171357
1628,2,-22.7199414331679,49.1505615708576,54.14770024162839
1633,2,-27.312590242746538,-53.27311642776512,59.86653923264974
1634,2,7.611952997041076,-67.59610588382557,68.02334422157234
1648,2,17.315588499752018,65.10102995252917,67.36448401029169
1649,2,50.14338342328886,41.655491656236904,65.1884873751323
1652,2,-5.728265959151912,-76.39368349922592,76.60814519017335
1654,2,-5.991066869756615,18.490172017341557,19.436546593177916
1656,2,8.761307084235483,4.338054452638509,9.776462461357465
1661,2,75.81004929166122,64.37054948070617,99.45215540174152
1663,2,6.619725272397964,-8.37671149449448,10.676612671817791
1665,2,60.19109085996571,36.87701136601254,70.5895274541604
1668,2,-26.580617392523923,21.011631707881996,33.882412664912415
1669,2,23.564971087391076,-62.0691382611164,66.3919105526205
1671,2,20.338235013952612,-48.55908808412241,52.64626139664931
1682,2,52.2713942532201,-30.345593128502816,60.44132426987523
1686,2,-18.988909440303537,-15.056897629673728,24.2340431616873
1688,2,11.244850037596265,97.34798365817964,97.99528853307815
1689,2,52.46975063050544,9.797664236281676,53.37667051919161
1691,2,7.864612877463716,47.64535363223028,48.29008033180984
1693,2,18.487910096233854,-26.543196389071603,32.34724245241392
1705,2,-29.770912479792553,0.8771926010350803,29.78383280806516
1706,2,-33.403617579301795,-61.624251987748316,70.09529299770236
1707,2,70.60185535907807,58.86820893050785,91.92436022529668
1711,2,-67.87976958331063,65.1276486215356,94.07057846985715
1717,2,-30.87125383352341,-39.674746491163134,50.270466701552465
1718,2,-16.362047808732488,-8.138059262922908,18.274151609913194
1727,2,-12.036180157093192,-61.42326654504145,62.59143156884345
