event,particle,charge,x,y,z,px,py,pz,E,photon_pT,weight,eta
53.0,positron,1,-6.204195646796952,22.66622942565141,13.86181924246345,-0.4738968919000002,1.73132123605,1.0588113962000003,2.0840184882272936,3.5900147557079376,0.01,0.5601144989717731
53.0,electron,-1,-6.204195646796952,22.66622942565141,13.86181924246345,-0.4738968919000002,1.73132123605,1.0588113962000003,2.0840184882272936,3.5900147557079376,0.01,0.5601144989717731
54.0,positron,1,23.014740566270387,-4.750970076444191,-54.75115702006033,0.7231976068,-0.14929085033,-1.7204584867,1.8722392851693812,1.476892056276967,0.01,-1.5821106515472039
54.0,electron,-1,23.014740566270387,-4.750970076444191,-54.75115702006033,0.7231976068,-0.14929085033,-1.7204584867,1.8722392851693812,1.476892056276967,0.01,-1.5821106515472039
55.0,positron,1,20.31014136007096,11.821512506186975,-8.423099855423121,118.39055355,68.90919096000002,-49.09938521899999,145.51820984853038,273.9693396614823,0.01,-0.3511675617287562
55.0,electron,-1,20.31014136007096,11.821512506186975,-8.423099855423121,118.39055355,68.90919096000002,-49.09938521899999,145.51820984853038,273.9693396614823,0.01,-0.3511675617287562
56.0,positron,1,-2.661769078128474,-23.34876839096056,38.36220612251405,-1.50635204765,-13.2135673845,21.709992884,25.45960036095445,26.598305172787345,0.01,1.2660491561974625
56.0,electron,-1,-2.661769078128474,-23.34876839096056,38.36220612251405,-1.50635204765,-13.2135673845,21.709992884,25.45960036095445,26.598305172787345,0.01,1.2660491561974625
58.0,positron,1,-22.03086850890868,8.178681601772736,17.149658517872655,-0.478229877925,0.1775368003499998,0.37227216422,0.6315138128906753,1.020241405979342,0.01,0.676886737074572
58.0,electron,-1,-22.03086850890868,8.178681601772736,17.149658517872655,-0.478229877925,0.1775368003499998,0.37227216422,0.6315138128906753,1.020241405979342,0.01,0.676886737074572
59.0,positron,1,23.469804513361147,-1.1909139786789062,-16.984238748181813,0.29363047114,-0.0148995119429999,-0.2124896278,0.3627570687948349,0.5880164930953484,0.01,-0.6711911699161016
59.0,electron,-1,23.469804513361147,-1.1909139786789062,-16.984238748181813,0.29363047114,-0.0148995119429999,-0.2124896278,0.3627570687948349,0.5880164930953484,0.01,-0.6711911699161016
60.0,positron,1,-14.35546571049927,-18.605660542820825,-13.73309581116274,-1.7571310128500002,-2.27736137675,-1.68095198295,3.331588780989554,5.75287206067784,0.01,-0.555390886696551
60.0,electron,-1,-14.35546571049927,-18.605660542820825,-13.73309581116274,-1.7571310128500002,-2.27736137675,-1.68095198295,3.331588780989554,5.75287206067784,0.01,-0.555390886696551
63.0,positron,1,22.84342101085989,5.516168645047461,-35.94342946001088,116.36697368,28.099987791999997,-183.099900315,218.76118342319168,239.42332281841183,0.01,-1.2110204362744272
63.0,electron,-1,22.84342101085989,5.516168645047461,-35.94342946001088,116.36697368,28.099987791999997,-183.099900315,218.76118342319168,239.42332281841183,0.01,-1.2110204362744272
64.0,positron,1,17.601500825168113,-15.570393980294986,5.286650436581723,1.36631627855,-1.20865163545,0.4103761731599999,1.8697774071808997,3.6483744045296014,0.01,0.22310828129005367
64.0,electron,-1,17.601500825168113,-15.570393980294986,5.286650436581723,1.36631627855,-1.20865163545,0.4103761731599999,1.8697774071808997,3.6483744045296014,0.01,0.22310828129005367
65.0,positron,1,16.687540509808283,-16.546177556568995,-4.454109453259124,13.05554761,-12.944951877499998,-3.48468595435,18.7126197713792,36.77059164646484,0.01,-0.1884197127165697
65.0,electron,-1,16.687540509808283,-16.546177556568995,-4.454109453259124,13.05554761,-12.944951877499998,-3.48468595435,18.7126197713792,36.77059164646484,0.01,-0.1884197127165697
67.0,positron,1,18.396107708624257,-14.623037344296678,27.252328119969437,123.189744705,-97.923336055,182.49552551500005,240.9757452060675,314.7360350809773,0.01,0.9898985509693521
67.0,electron,-1,18.396107708624257,-14.623037344296678,27.252328119969437,123.189744705,-97.923336055,182.49552551500005,240.9757452060675,314.7360350809773,0.01,0.9898985509693521
68.0,positron,1,9.037841093856017,21.69256620048,20.816404819861624,61.403878055000014,147.38118050999998,141.42846392499996,213.29242606548297,319.32208572984433,0.01,0.7982781688770947
68.0,electron,-1,9.037841093856017,21.69256620048,20.816404819861624,61.403878055000014,147.38118050999998,141.42846392499996,213.29242606548297,319.32208572984433,0.01,0.7982781688770947
69.0,positron,1,-23.272487594304007,-3.2621037955537564,47.49296131700463,-20.979473581,-2.9406920992000023,42.8135292025,47.768025545667,42.369138851677135,0.01,1.452977542956106
69.0,electron,-1,-23.272487594304007,-3.2621037955537564,47.49296131700463,-20.979473581,-2.9406920992000023,42.8135292025,47.768025545667,42.369138851677135,0.01,1.452977542956106
70.0,positron,1,21.797571081210847,-8.78156563259426,6.784516143253117,10.592275713,-4.267299509000001,3.296856576399999,11.885933415810188,22.83910242366992,0.01,0.28483564401529415
70.0,electron,-1,21.797571081210847,-8.78156563259426,6.784516143253117,10.592275713,-4.267299509000001,3.296856576399999,11.885933415810188,22.83910242366992,0.01,0.28483564401529415
73.0,positron,1,8.083634930602567,22.065920472727665,-44.45039208394246,1.88523734805,5.146137566999999,-10.366566527500003,11.726148271536342,10.961177257388236,0.01,-1.3940353978889988
73.0,electron,-1,8.083634930602567,22.065920472727665,-44.45039208394246,1.88523734805,5.146137566999999,-10.366566527500003,11.726148271536342,10.961177257388236,0.01,-1.3940353978889988
74.0,positron,1,13.415685055648158,-19.29428398484014,46.87618899817102,2.3950095503499997,-3.44447519595,8.368482106500005,9.361195056647054,8.390585229120195,0.01,1.4412768207526176
74.0,electron,-1,13.415685055648158,-19.29428398484014,46.87618899817102,2.3950095503499997,-3.44447519595,8.368482106500005,9.361195056647054,8.390585229120195,0.01,1.4412768207526176
75.0,positron,1,-9.704194002908311,-21.40277128677308,54.48931010302526,-5.478435994000002,-12.082787355,30.76156532600001,33.500461377602974,26.53352680715496,0.01,1.577706976983859
75.0,electron,-1,-9.704194002908311,-21.40277128677308,54.48931010302526,-5.478435994000002,-12.082787355,30.76156532600001,33.500461377602974,26.53352680715496,0.01,1.577706976983859
77.0,positron,1,-23.447771778165528,1.5658858959273678,-51.10400322796776,-2.2718394396,0.1517176715100003,-4.951433814400002,5.449859586223687,4.553799596455891,0.01,-1.5191153837941969
77.0,electron,-1,-23.447771778165528,1.5658858959273678,-51.10400322796776,-2.2718394396,0.1517176715100003,-4.951433814400002,5.449859586223687,4.553799596455891,0.01,-1.5191153837941969
79.0,positron,1,-19.691500879982407,-12.825552350431227,35.40932405565048,-1.793459665,-1.1681237993000004,3.225005287600001,3.870616215219605,4.280659192448275,0.01,1.1985180699706812
79.0,electron,-1,-19.691500879982407,-12.825552350431227,35.40932405565048,-1.793459665,-1.1681237993000004,3.225005287600001,3.870616215219605,4.280659192448275,0.01,1.1985180699706812
