event,layer,forward_xn3,abs_xn1_mm,abs_xn2_mm,cur_ds_before,trial_ds,trial_dw,ds_ratio,dw_ratio,result
2,802,33.92077489371947,0.09892372159102136,0.7044463832809833,4.764782288048956e-06,0.03353390386674809,0.8811169464571159,7037.866966316163,0.9752157650057018,3x_ds
2,802,33.92096019205562,0.09903882246844431,0.6954501855795079,4.764782288048956e-06,0.03360702804140034,0.8802227311537426,7053.213769219553,0.9742260520457304,3x_ds
3,1304,378.34807952786815,1.7237359824475455e-06,0.5021548872433185,,2.861945984730458e-06,0.8905230902839971,0.8974977687342881,0.8976192240505165,accepted
3,1304,378.34793772258405,5.509542485238148e-07,0.5977336234054185,,2.712437560946302e-06,0.8352602896962571,0.9477598722750749,0.937943438872409,accepted
3,1302,304.9223021245407,1.4968971596076684e-06,0.02021524476423921,,2.8906638713609623e-06,0.7625263924460448,1.0657070647379183,0.9129206809572354,accepted
3,1302,304.92216917584756,3.6080321897759086e-06,0.2736238784364383,,2.447246886413633e-06,0.7130098117317817,0.8466037544729949,0.9350624696996742,accepted
3,808,124.90634150662987,0.09995954787718069,0.07654748809349984,2.447246886413633e-06,0.03512113856292936,0.6675040577907178,14351.285421144548,0.9361779414640339,3x_ds
3,808,124.9060656357905,0.09995616988246474,0.2734522841214929,2.447246886413633e-06,0.034787961418910815,0.6738742325586976,14215.141762787787,0.9451121449815252,3x_ds
3,806,90.23303218573298,0.0994438077394815,0.003673904409779364,2.447246886413633e-06,0.03505896141668292,0.6669608684017505,14325.87844378087,0.9354161154975049,3x_ds
3,806,90.23290140558716,0.0994398498731908,0.1536738293914575,2.447246886413633e-06,0.03494222287026974,0.6691624910584884,14278.17645381767,0.9385039028189591,3x_ds
3,804,51.47064599939177,0.09673164194193307,1.0065999179127174,2.447246886413633e-06,0.030144447001727623,0.7559861802166893,12317.697560095135,1.060274582169529,3x_ds
3,804,51.469915706046066,0.09688895434381672,1.0432591926445611,2.447246886413633e-06,0.029948407681071924,0.7621723007572396,12237.591494072925,1.068950648667864,3x_ds
3,802,33.92080996011281,0.09888991280393339,0.702760581603929,2.447246886413633e-06,0.032746876633734344,0.7118065742472311,13381.108712625195,0.9983124531181021,3x_ds
3,802,33.92092548500089,0.09907399312132786,0.6971359873823354,2.447246886413633e-06,0.03283977012316521,0.7111143493292724,13419.067077163969,0.9973416040406156,3x_ds
4,1304,378.3482985018776,3.463291271979188e-06,0.29514222157982156,,1.4386406526727114e-06,0.19296320020238678,0.7741483813502353,1.2356829210505134,accepted
4,1304,378.3483053396339,1.8349528069896643e-06,0.28511491644949377,,1.816844939366304e-06,0.21017886445632758,1.2628900316357412,1.0892173442184023,accepted
4,1302,304.92174294497806,2.234261670631757e-06,0.5689888434168732,,1.9412807921196673e-06,0.29498873404632353,1.0684900786287053,1.4035128356477458,accepted
4,1302,304.92223454989875,5.3877280756016056e-06,0.19695323823771896,,2.84054749624067e-06,0.2824329320869309,1.463233710327449,0.957436333967178,accepted
4,808,124.90632779448643,0.09995800509960491,0.09636022791337448,2.84054749624067e-06,0.03485869276002114,0.2663940569571832,12271.821825248466,0.9432117387613601,3x_ds
4,808,124.90610743959793,0.09995623650225101,0.25363958366844114,2.84054749624067e-06,0.03327468284587108,0.27907056225304605,11714.179357996494,0.9880949795442059,3x_ds
4,806,90.23303165804816,0.09944299382702282,0.010434972791669963,2.84054749624067e-06,0.0350552815800788,0.26421788842877997,12341.029898803945,0.9355066580814151,3x_ds
4,806,90.2329243312737,0.09943965786069298,0.1395649708198142,2.84054749624067e-06,0.034454938083712604,0.2688126094859455,12129.682087453943,0.9517750196468124,3x_ds
4,804,51.47089558255187,0.09681104824380804,0.9937482331960122,2.84054749624067e-06,0.020524202233064164,0.4401807877747277,7225.438849456653,1.5585320894492685,3x_ds
4,804,51.469653758896804,0.09681043845241377,1.0561106373323594,2.84054749624067e-06,0.01972663661881601,0.45797482801086864,6944.660015339747,1.6215347998791698,3x_ds
4,802,33.919981303560924,0.09906960773508414,0.7416559707171395,2.84054749624067e-06,0.024800573631381096,0.37297389935529507,8730.913200431776,1.3205751064486217,3x_ds
4,802,33.92170309097,0.09889443380753574,0.65823954533157,2.84054749624067e-06,0.02617422845140328,0.35277488886419656,9214.501248806306,1.2490572053956333,3x_ds
5,1304,378.34836344654644,1.636366627402981e-06,0.18672666547029088,,1.8880689455997784e-06,0.3463286763255191,1.09820875946113,0.8947726174181597,accepted
5,1304,378.3484088971399,1.6903944134238234e-06,0.05227914554324488,,1.6598311811332784e-06,0.3105455919931436,0.8791157679922561,0.8966788291630159,accepted
5,1302,304.9215750529506,2.6904024185577155e-06,0.6511625292154296,,2.1597375326727915e-06,0.3822562364697687,1.3011790338811404,1.2309182494472772,accepted
5,1302,304.92226517924126,2.7209888548988136e-06,0.14907238763020897,,2.015417772551289e-06,0.3580695547139473,0.9331771764215725,0.9367265215103058,accepted
5,808,124.906307321712,0.09995672264352388,0.11999961515604324,2.015417772551289e-06,0.03487017806557183,0.3376198336675712,17301.71210181905,0.9428889700976871,3x_ds
5,808,124.90615320427062,0.09995801429254451,0.23000023186226687,2.015417772551289e-06,0.03415741956431246,0.344669362501528,16948.059121793423,0.9625765663793328,3x_ds
5,806,90.2330281295038,0.09944261590387352,0.027308356255145844,2.015417772551289e-06,0.03504397360587673,0.3350832682134613,17387.94511150661,0.9358049680631206,3x_ds
5,806,90.23294885102872,0.09944052362996028,0.12269160482540374,2.015417772551289e-06,0.03476603240908356,0.3377550270274187,17250.03762623058,0.9432665318257584,3x_ds
5,804,51.471111887253116,0.09688517170678557,0.9824735891485982,2.015417772551289e-06,0.02373509315110068,0.48293743746300366,11776.760865343942,1.3487252158279979,3x_ds
5,804,51.4694213263689,0.09673513697477665,1.0673849549230912,2.015417772551289e-06,0.022664491434994834,0.5049667702210059,11245.555012797258,1.4102477118570191,3x_ds
5,802,33.92024447384989,0.0990390808378247,0.7295245675935265,2.015417772551289e-06,0.027700640399740312,0.42322232776754626,13744.366442037703,1.1819556345851516,3x_ds
5,802,33.921465420167216,0.09892333297070793,0.6703714810413617,2.015417772551289e-06,0.028507505562261032,0.410762974822915,14144.712798763196,1.147159733116833,3x_ds
6,1304,378.34841115259917,3.3317113670142937e-06,0.00170191209109168,,6.470180001050912e-06,1.0858093191066502,0.9335005021351525,0.8660256351949119,accepted
6,1304,378.34728416275044,2.982845015298292e-06,0.8995629762456114,,5.824104289930968e-06,1.042307658176053,0.9001456356677857,0.9599361875376166,accepted
