trial,event,mode,found,delta_s,delta_w,accepted_hits,coverage_all8,coverage_7double
10,7,pixel_only,True,0.07184813686188439,0.6333262839849378,16,True,True
10,7,rphi_only,True,0.07186042439903931,0.6236321655605671,16,True,True
10,7,z_only,False,0.3667770995767812,0.9228224043213336,11,False,False
10,7,full,False,,,0,False,False
10,8,pixel_only,True,0.07189545667554867,0.5336925313900979,16,True,True
10,8,rphi_only,True,0.0718954810286926,0.5178787912063133,16,True,True
10,8,z_only,False,0.2818096403185661,0.5534762000531017,11,False,False
10,8,full,False,0.27835624046702806,0.5548076099107832,11,False,False
10,9,pixel_only,True,0.07186824625441596,0.4940554043780464,16,True,True
10,9,rphi_only,True,0.07186034194484837,0.48812520798486286,16,True,True
10,9,z_only,False,0.30748441211614913,0.6453706015861542,13,False,False
10,9,full,False,0.2965279495530329,0.6453990591257261,13,False,False
10,10,pixel_only,True,0.07189870413528625,0.5723884826084998,16,True,True
10,10,rphi_only,True,0.07189771964462895,0.5829904963329725,16,True,True
10,10,z_only,False,0.27976788362032107,0.8731322811884544,11,False,False
10,10,full,False,0.28077641753612675,0.872486919442157,11,False,False
10,11,pixel_only,True,0.07190136386372802,0.6158116768037407,16,True,True
10,11,rphi_only,True,0.0719017770150927,0.6217891757050011,16,True,True
10,11,z_only,False,0.17208336460240073,0.5974918395084089,14,True,False
10,11,full,False,0.1707917847288945,0.6042785902121627,14,True,False
10,12,pixel_only,True,0.07187914155022351,0.4548116223197397,16,True,True
10,12,rphi_only,True,0.07187528043694591,0.4543239499905123,16,True,True
10,12,z_only,False,0.31154627026062015,0.6778312501348054,14,False,True
10,12,full,False,0.31289143985961654,0.6768289804600384,14,False,True
10,13,pixel_only,True,0.07190138469950684,0.6515339395912753,16,True,True
10,13,rphi_only,True,0.07190068296092544,0.6474228538121265,16,True,True
10,13,z_only,False,,,0,False,False
10,13,full,False,,,0,False,False
10,14,pixel_only,True,0.07190034314077187,0.6116871028039714,16,True,True
10,14,rphi_only,True,0.071896856786062,0.6078321515890683,16,True,True
10,14,z_only,False,,,0,False,False
10,14,full,False,,,0,False,False
10,15,pixel_only,True,0.07188355809554992,0.5239861462132219,16,True,True
10,15,rphi_only,True,0.07188114823972586,0.514970497773356,16,True,True
10,15,z_only,False,0.2594927776204528,0.6422889443973641,12,False,False
10,15,full,False,0.25628633282655017,0.636055815168065,12,False,False
11,0,pixel_only,True,0.07190465607054643,0.6252904166364244,16,True,True
11,0,rphi_only,True,0.07190463660514154,0.6247692397302935,16,True,True
11,0,z_only,False,,,0,False,False
11,0,full,False,,,0,False,False
11,1,pixel_only,True,0.07189199908424007,0.5098111679898344,16,True,True
11,1,rphi_only,True,0.07189328971893712,0.5137812877622142,16,True,True
11,1,z_only,False,0.25336440881528793,0.9673595993990158,11,False,False
11,1,full,False,0.25611494616310354,0.9692078492669611,11,False,False
11,2,pixel_only,True,0.07189871283523565,0.6628253663910119,16,True,True
11,2,rphi_only,True,0.07189941875287265,0.665915783856403,16,True,True
11,2,z_only,False,,,0,False,False
11,2,full,False,,,0,False,False
11,3,pixel_only,True,0.07190185530537212,0.41995809945659174,16,True,True
11,3,rphi_only,True,0.07190231484502063,0.42391165731513963,16,True,True
11,3,z_only,False,0.27313813991334024,0.8663019332787577,14,False,True
11,3,full,False,0.279861784566475,0.8663736370812501,14,False,True
11,4,pixel_only,True,0.07189613461923168,0.7342546300395721,16,True,True
11,4,rphi_only,True,0.07189554647931991,0.7353119310226047,16,True,True
11,4,z_only,False,,,0,False,False
11,4,full,False,,,0,False,False
11,5,pixel_only,True,0.07189920074648912,0.6172303001901993,16,True,True
11,5,rphi_only,True,0.07189664567110207,0.6095410985141347,16,True,True
11,5,z_only,False,0.34841798266701357,0.7760039593442394,10,False,False
11,5,full,False,0.3448693778848128,0.7719282153190131,10,False,False
