trial,event,mode,found,delta_s,delta_w,accepted_hits,coverage_all8,coverage_7double,reason
10,14,pixel_only,True,0.05189583303098771,0.6942939430103836,16,True,True,pass
10,14,rphi_only,True,0.05189556073507974,0.6943246900955272,16,True,True,pass
10,14,z_only,False,0.22534455276157733,0.7282968353742132,11,False,False,final_ds_fail
10,14,full,False,0.22592264240211518,0.7271073925689586,11,False,False,final_ds_fail
10,15,pixel_only,True,0.05189434769169135,0.6116087866043028,16,True,True,pass
10,15,rphi_only,True,0.05189398984345804,0.6041098653425576,16,True,True,pass
10,15,z_only,False,0.2548472442613067,0.6750403164435864,9,False,False,final_ds_fail
10,15,full,False,0.25744824890764895,0.6774312040564731,9,False,False,final_ds_fail
11,0,pixel_only,True,0.05189235622167547,0.8965408911602595,16,True,True,pass
11,0,rphi_only,True,0.05189229383067356,0.8906379862500169,16,True,True,pass
11,0,z_only,False,0.22750042190742392,0.963177179218975,11,False,False,final_ds_fail
11,0,full,False,0.22825635385998566,0.9545783255405175,11,False,False,final_ds_fail
11,1,pixel_only,True,0.05189364927196712,0.7249645659980073,16,True,True,pass
11,1,rphi_only,True,0.05189337114882684,0.7250472295792009,16,True,True,pass
11,1,z_only,False,,,0,False,False,seed_ds_fail
11,1,full,False,,,0,False,False,seed_ds_fail
11,2,pixel_only,True,0.05188484672837014,0.6045982117788054,16,True,True,pass
11,2,rphi_only,True,0.051885791563546925,0.6145882249686714,16,True,True,pass
11,2,z_only,False,0.2919141582588391,0.8515499859722506,10,False,False,final_ds_fail
11,2,full,False,0.26445742457518145,0.850902057176519,9,False,False,final_ds_fail
11,3,pixel_only,True,0.0518939872365304,0.7271559025784697,16,True,True,pass
11,3,rphi_only,True,0.05189333898224757,0.7359298924758809,16,True,True,pass
11,3,z_only,False,,,0,False,False,seed_ds_fail
11,3,full,False,,,0,False,False,seed_ds_fail
11,4,pixel_only,True,0.05189530891803438,0.6351029895891872,16,True,True,pass
11,4,rphi_only,True,0.05189575020124296,0.6443753685470657,16,True,True,pass
11,4,z_only,False,0.259351098270803,1.4883291043998446,9,False,False,final_ds_fail
11,4,full,False,0.2545297516525529,1.4885141599001213,9,False,False,final_ds_fail
11,5,pixel_only,True,0.05189570576292412,0.7272216742271052,16,True,True,pass
11,5,rphi_only,True,0.05189542740665896,0.7219305366572533,16,True,True,pass
11,5,z_only,False,,,0,False,False,seed_ds_fail
11,5,full,False,,,0,False,False,seed_ds_fail
11,6,pixel_only,True,0.051895467588989934,0.6079478329125448,16,True,True,pass
11,6,rphi_only,True,0.051895658241752005,0.6101783538518158,16,True,True,pass
11,6,z_only,False,0.2795092459436643,0.7525090196473077,9,False,False,final_ds_fail
11,6,full,False,0.28255516646370976,0.752459842372966,9,False,False,final_ds_fail
11,7,pixel_only,True,0.051887508077080084,0.606896374174074,16,True,True,pass
11,7,rphi_only,True,0.051889349072822125,0.608199144905074,16,True,True,pass
11,7,z_only,False,0.249774227052829,0.9241040947462171,10,False,False,final_ds_fail
11,7,full,False,0.25481621330807147,0.9249352782148575,10,False,False,final_ds_fail
